,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-178500.0,-594720.0,-2323020.0,-2169510.0,-42848161.726051,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.119499,,
Normalized EBITDA,5189000.0,24949000.0,-1717000.0,-4369000.0,8239000.0,,
Total Unusual Items,-850000.0,-2832000.0,-11062000.0,-10331000.0,-358566000.0,,
Total Unusual Items Excluding Goodwill,-850000.0,-2832000.0,-11062000.0,-10331000.0,-358566000.0,,
Net Income From Continuing Operation Net Minority Interest,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Reconciled Depreciation,2719000.0,3348000.0,2445000.0,2581000.0,2665000.0,,
Reconciled Cost Of Revenue,14207000.0,15017000.0,15933000.0,17882000.0,17990000.0,,
EBITDA,4339000.0,22117000.0,-12779000.0,-14700000.0,-350327000.0,,
EBIT,1620000.0,18769000.0,-15224000.0,-17281000.0,-352992000.0,,
Net Interest Income,-1514000.0,-1798000.0,-1956000.0,-1658000.0,-1817000.0,,
Interest Expense,2409000.0,2716000.0,3393000.0,3102000.0,3104000.0,,
Interest Income,895000.0,918000.0,1437000.0,1444000.0,1287000.0,,
Normalized Income,-2049500.0,23893280.0,-15549020.0,-12254510.0,2174838.273949,,
Net Income From Continuing And Discontinued Operation,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Total Expenses,62334000.0,57826000.0,56767000.0,63702000.0,66878000.0,,
Total Operating Income As Reported,-948000.0,17352000.0,-16933000.0,-19228000.0,-354905000.0,,
Diluted Average Shares,43262000.0,51530000.0,42897000.0,41866000.0,41795000.0,,
Basic Average Shares,43262000.0,43223000.0,42897000.0,41866000.0,41795000.0,,
Diluted EPS,-0.06,0.46,-0.57,-0.49,-7.5,,
Basic EPS,-0.06,0.5,-0.57,-0.49,-7.5,,
Diluted NI Availto Com Stockholders,-2721000.0,23749000.0,-24288000.0,-20416000.0,-313543000.0,,
Average Dilution Earnings,,2093000.0,0.0,,,0.0,2250000.0
Net Income Common Stockholders,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Net Income,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Net Income Including Noncontrolling Interests,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Net Income Continuous Operations,-2721000.0,21656000.0,-24288000.0,-20416000.0,-313543000.0,,
Tax Provision,1932000.0,-5603000.0,5671000.0,33000.0,-42553000.0,,
Pretax Income,-789000.0,16053000.0,-18617000.0,-20383000.0,-356096000.0,,
Other Income Expense,823000.0,-2333000.0,-10790000.0,-9828000.0,-357940000.0,,
Other Non Operating Income Expenses,1673000.0,499000.0,272000.0,503000.0,626000.0,,
Special Income Charges,-850000.0,-2832000.0,-11062000.0,-10331000.0,-358566000.0,,
Impairment Of Capital Assets,0.0,0.0,,0.0,357076000.0,252096000.0,
Restructuring And Mergern Acquisition,850000.0,2832000.0,11062000.0,10331000.0,1490000.0,,
Net Non Operating Interest Income Expense,-1514000.0,-1798000.0,-1956000.0,-1658000.0,-1817000.0,,
Interest Expense Non Operating,2409000.0,2716000.0,3393000.0,3102000.0,3104000.0,,
Interest Income Non Operating,895000.0,918000.0,1437000.0,1444000.0,1287000.0,,
Operating Income,-98000.0,20184000.0,-5871000.0,-8897000.0,3661000.0,,
Operating Expense,45986000.0,39997000.0,38943000.0,43792000.0,46773000.0,,
Depreciation Amortization Depletion Income Statement,578000.0,536000.0,554000.0,553000.0,550000.0,,
Depreciation And Amortization In Income Statement,578000.0,536000.0,554000.0,553000.0,550000.0,,
Amortization,578000.0,536000.0,554000.0,553000.0,550000.0,,
Amortization Of Intangibles Income Statement,578000.0,536000.0,554000.0,553000.0,550000.0,,
Research And Development,27152000.0,23332000.0,20869000.0,25227000.0,31184000.0,,
Selling General And Administration,18256000.0,16129000.0,17520000.0,18012000.0,15039000.0,,
Selling And Marketing Expense,5916000.0,4930000.0,4766000.0,4827000.0,5208000.0,,
General And Administrative Expense,12340000.0,11199000.0,12754000.0,13185000.0,9831000.0,,
Other Gand A,12340000.0,11199000.0,12754000.0,13185000.0,9831000.0,,
Gross Profit,45888000.0,60181000.0,33072000.0,34895000.0,50434000.0,,
Cost Of Revenue,16348000.0,17829000.0,17824000.0,19910000.0,20105000.0,,
Total Revenue,62236000.0,78010000.0,50896000.0,54805000.0,70539000.0,,
Operating Revenue,62236000.0,78010000.0,50896000.0,54805000.0,70539000.0,,
