,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,115220.436513,-29577.376511,-1722358.126832,141259.267007,-15248950.874649,,
Tax Rate For Calcs,0.179751,0.234741,0.15,0.301505,0.301369,,
Normalized EBITDA,47841000.0,43393000.0,38595078.396542,27871776.652752,38458000.0,,
Total Unusual Items,641000.0,-126000.0,-11482387.512212,468514.077627,-50599000.0,,
Total Unusual Items Excluding Goodwill,641000.0,-126000.0,-11482387.512212,468514.077627,-50599000.0,,
Net Income From Continuing Operation Net Minority Interest,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Reconciled Depreciation,7909000.0,8032000.0,9560838.558783,7287503.330669,7850000.0,,
Reconciled Cost Of Revenue,10173000.0,9363000.0,-21130816.058264,8627912.484827,9237000.0,,
EBITDA,48482000.0,43267000.0,27112690.88433,28340290.730379,-12141000.0,,
EBIT,40573000.0,35235000.0,17551852.325547,21052787.39971,-19991000.0,,
Net Interest Income,-506000.0,-1132000.0,-306915.978328,-496639.725257,-1166000.0,,
Interest Expense,1124000.0,1730000.0,1429007.37188,1674216.182609,2075000.0,,
Interest Income,618000.0,598000.0,1122091.393552,1177576.457353,909000.0,,
Normalized Income,31832220.436513,25736422.623489,16963169.362288,13208583.18565,19934049.125351,,
Net Income From Continuing And Discontinued Operation,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Total Expenses,18937000.0,16401000.0,16142956.804926,14689729.697723,15414000.0,,
Total Operating Income As Reported,41427000.0,38515000.0,38925148.710661,27687479.645913,-17581000.0,,
Diluted Average Shares,189081000.0,188425000.0,,187732000.0,186217000.0,186870000.0,
Basic Average Shares,187746000.0,186979000.0,,186408000.0,186217000.0,185761000.0,
Diluted EPS,0.17,0.14,,0.074015,-0.08,0.06,
Basic EPS,0.17,0.14,,0.074015,-0.08,0.06,
Diluted NI Availto Com Stockholders,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Net Income Common Stockholders,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Net Income,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Minority Interests,,,,,,,0.0
Net Income Including Noncontrolling Interests,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Net Income Discontinuous Operations,,,,,,,0.0
Net Income Continuous Operations,32358000.0,25640000.0,7203139.976907,13535837.99627,-15416000.0,,
Tax Provision,7091000.0,7865000.0,8919704.976759,5842733.220831,-6650000.0,,
Pretax Income,39449000.0,33505000.0,16122844.953667,19378571.2171,-22066000.0,,
Other Income Expense,-1472000.0,-3878000.0,-23246626.461794,-7812268.703556,-52877000.0,,
Special Income Charges,0.0,,-10054820.321521,0.0,-49558000.0,0.0,
Gain On Sale Of Business,,,-9300000.0,0.0,0.0,0.0,-5573691.503159
Write Off,0.0,,754820.321521,0.0,49558000.0,0.0,
Earnings From Equity Interest,-2113000.0,-3752000.0,-9402238.949581,-8280782.781182,-2278000.0,,
Gain On Sale Of Security,641000.0,-126000.0,-1427567.190692,468514.077627,-1041000.0,,
Net Non Operating Interest Income Expense,-506000.0,-1132000.0,-306915.978328,-496639.725257,-1166000.0,,
Interest Expense Non Operating,1124000.0,1730000.0,1429007.37188,1674216.182609,2075000.0,,
Interest Income Non Operating,618000.0,598000.0,1122091.393552,1177576.457353,909000.0,,
Operating Income,41427000.0,38515000.0,39676387.393789,27687479.645913,31977000.0,,
Operating Expense,8764000.0,7038000.0,37273772.863191,6061817.212896,6177000.0,,
Provision For Doubtful Accounts,0.0,0.0,,,0.0,-1399000.0,
Research And Development,2826000.0,2079000.0,1961602.984279,1114663.824496,1528000.0,,
Selling General And Administration,5938000.0,4959000.0,4104169.878912,4947153.3884,4649000.0,,
General And Administrative Expense,5938000.0,4959000.0,4104169.878912,4947153.3884,4649000.0,,
Other Gand A,5938000.0,4959000.0,4104169.878912,4947153.3884,4649000.0,,
Gross Profit,50191000.0,45553000.0,76950160.25698,33749296.858809,38154000.0,,
Cost Of Revenue,10173000.0,9363000.0,-21130816.058264,8627912.484827,9237000.0,,
Total Revenue,60364000.0,54916000.0,55819344.198715,42377209.343636,47391000.0,,
Operating Revenue,60364000.0,54916000.0,55819344.198715,42377209.343636,47391000.0,,
