,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,12110625.715457,2269200.0,891043.195744,651130.0,0.0,,
Tax Rate For Calcs,0.243053,0.24,0.256268,0.23,0.261899,,
Normalized EBITDA,292538000.0,218913000.0,197046000.0,226847000.0,233132000.0,,
Total Unusual Items,49827000.0,9455000.0,3477000.0,2831000.0,0.0,,
Total Unusual Items Excluding Goodwill,49827000.0,9455000.0,3477000.0,2831000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,245924000.0,157432000.0,137652000.0,168699000.0,160165000.0,,
Reconciled Depreciation,17905000.0,17123000.0,21993000.0,11791000.0,10099000.0,,
Reconciled Cost Of Revenue,785194000.0,728185000.0,668409000.0,722388000.0,724909000.0,,
EBITDA,342365000.0,228368000.0,200523000.0,229678000.0,233132000.0,,
EBIT,324460000.0,211245000.0,178287000.0,217887000.0,223033000.0,,
Net Interest Income,8205000.0,9876000.0,10620000.0,11032000.0,14276000.0,,
Interest Expense,17000.0,25000.0,75000.0,113000.0,107000.0,,
Interest Income,8222000.0,9901000.0,10695000.0,11145000.0,14383000.0,,
Normalized Income,208207625.715457,150246200.0,135066043.195744,166519130.0,160165000.0,,
Net Income From Continuing And Discontinued Operation,245924000.0,157432000.0,137652000.0,168699000.0,160165000.0,,
Total Expenses,870620000.0,808368000.0,757323000.0,793798000.0,787739000.0,,
Total Operating Income As Reported,304168000.0,206262000.0,170258000.0,206700000.0,210006000.0,,
Diluted Average Shares,110942000.0,113072000.0,113960000.0,113775000.0,113979000.0,,
Basic Average Shares,108746000.0,110739000.0,111545000.0,111363000.0,111216000.0,,
Diluted EPS,2.22,1.39,1.21,1.48,1.41,,
Basic EPS,2.26,1.42,1.23,1.51,1.44,,
Diluted NI Availto Com Stockholders,245924000.0,157432000.0,137652000.0,168699000.0,160165000.0,,
Net Income Common Stockholders,245924000.0,157432000.0,137652000.0,168699000.0,160165000.0,,
Net Income,245924000.0,157432000.0,137652000.0,168699000.0,160165000.0,,
Minority Interests,-2559000.0,-1855000.0,-2951000.0,-3084000.0,-3282000.0,,
Net Income Including Noncontrolling Interests,248483000.0,159287000.0,140603000.0,171783000.0,163447000.0,,
Net Income Continuous Operations,248483000.0,159287000.0,140603000.0,171783000.0,163447000.0,,
Earnings From Equity Interest Net Of Tax,2897000.0,-458000.0,8061000.0,3197000.0,-1095000.0,,
Tax Provision,78857000.0,51475000.0,45670000.0,49188000.0,58384000.0,,
Pretax Income,324443000.0,211220000.0,178212000.0,217774000.0,222926000.0,,
Other Income Expense,48685000.0,9547000.0,1379000.0,2709000.0,-1356000.0,,
Other Non Operating Income Expenses,-1142000.0,92000.0,-2098000.0,-122000.0,-1356000.0,,
Special Income Charges,36615000.0,14465000.0,3092000.0,2667000.0,0.0,,
Gain On Sale Of Ppe,337000.0,14465000.0,1827000.0,2667000.0,,0.0,
Gain On Sale Of Business,,,0.0,0.0,,,0.0
Other Special Charges,-36278000.0,,,,,,-7534000.0
Write Off,,,,0.0,,,
Gain On Sale Of Security,13212000.0,-5010000.0,385000.0,164000.0,,365000.0,
Net Non Operating Interest Income Expense,8205000.0,9876000.0,10620000.0,11032000.0,14276000.0,,
Interest Expense Non Operating,17000.0,25000.0,75000.0,113000.0,107000.0,,
Interest Income Non Operating,8222000.0,9901000.0,10695000.0,11145000.0,14383000.0,,
Operating Income,267553000.0,191797000.0,166213000.0,204033000.0,210006000.0,,
Operating Expense,85426000.0,80183000.0,89157000.0,71329000.0,62749000.0,,
Depreciation Amortization Depletion Income Statement,17905000.0,17123000.0,22236000.0,11710000.0,10018000.0,,
Depreciation And Amortization In Income Statement,17905000.0,17123000.0,22236000.0,11710000.0,10018000.0,,
Selling General And Administration,67521000.0,63060000.0,64703000.0,59619000.0,52731000.0,,
General And Administrative Expense,,,64703000.0,59619000.0,,,
Other Gand A,,,64703000.0,59619000.0,,,
Gross Profit,352979000.0,271980000.0,255370000.0,275362000.0,272755000.0,,
Cost Of Revenue,785194000.0,728185000.0,668166000.0,722469000.0,724990000.0,,
Total Revenue,1138173000.0,1000165000.0,923536000.0,997831000.0,997745000.0,,
Operating Revenue,1138173000.0,1000165000.0,923536000.0,997831000.0,997745000.0,,
