,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.305827,0.171,0.269,0.309,0.267922,
Normalized EBITDA,3437000.0,2423000.0,2814000.0,2158000.0,2545000.0,
Net Income From Continuing Operation Net Minority Interest,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Reconciled Depreciation,397000.0,283000.0,272000.0,220000.0,210000.0,
Reconciled Cost Of Revenue,3769000.0,3455000.0,3628000.0,3177000.0,3531000.0,
EBITDA,3437000.0,2423000.0,2814000.0,2158000.0,2545000.0,
EBIT,3040000.0,2140000.0,2542000.0,1938000.0,2335000.0,
Net Interest Income,135000.0,142000.0,152000.0,195000.0,162000.0,
Interest Income,135000.0,142000.0,152000.0,195000.0,162000.0,
Normalized Income,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Net Income From Continuing And Discontinued Operation,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Total Expenses,14353000.0,13544000.0,13713000.0,12730000.0,12497000.0,
Total Operating Income As Reported,3040000.0,2140000.0,2542000.0,1938000.0,2335000.0,
Diluted Average Shares,8718900.0,8967838.0,8953349.0,8980714.0,,8892821.0
Basic Average Shares,8334821.0,8495005.0,8424534.0,8564489.0,,8565725.0
Diluted EPS,0.25,0.21,0.22,0.16,,0.17
Basic EPS,0.26,0.22,0.23,0.17,,0.17
Diluted NI Availto Com Stockholders,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Net Income Common Stockholders,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Net Income,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Net Income Including Noncontrolling Interests,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Net Income Continuous Operations,2204000.0,1891000.0,1968000.0,1474000.0,1828000.0,
Tax Provision,971000.0,391000.0,726000.0,659000.0,669000.0,
Pretax Income,3175000.0,2282000.0,2694000.0,2133000.0,2497000.0,
Net Non Operating Interest Income Expense,135000.0,142000.0,152000.0,195000.0,162000.0,
Interest Income Non Operating,135000.0,142000.0,152000.0,195000.0,162000.0,
Operating Income,3040000.0,2140000.0,2542000.0,1938000.0,2335000.0,
Operating Expense,10584000.0,10089000.0,10085000.0,9553000.0,8966000.0,
Research And Development,302000.0,277000.0,251000.0,166000.0,176000.0,
Selling General And Administration,10282000.0,9812000.0,9834000.0,9387000.0,8790000.0,
Gross Profit,13624000.0,12229000.0,12627000.0,11491000.0,11301000.0,
Cost Of Revenue,3769000.0,3455000.0,3628000.0,3177000.0,3531000.0,
Total Revenue,17393000.0,15684000.0,16255000.0,14668000.0,14832000.0,
Operating Revenue,17393000.0,15684000.0,16123000.0,14668000.0,15322000.0,
