,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.202713,0.177268,0.213351,0.20462,0.233138
Net Income From Continuing Operation Net Minority Interest,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Reconciled Depreciation,113000.0,164000.0,169000.0,188000.0,207000.0
EBIT,-1651000.0,2988000.0,3024000.0,-1068000.0,2025000.0
Net Interest Income,-855000.0,-850000.0,-807000.0,-750000.0,-661000.0
Interest Expense,855000.0,850000.0,807000.0,750000.0,661000.0
Normalized Income,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Net Income From Continuing And Discontinued Operation,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Total Expenses,49503000.0,42453000.0,46971000.0,48087000.0,43867000.0
Diluted Average Shares,20402000.0,21780000.0,20404000.0,20407000.0,
Basic Average Shares,20402000.0,20402000.0,20404000.0,20407000.0,
Diluted EPS,-0.1,0.08,0.08,-0.08,
Basic EPS,-0.1,0.08,0.08,-0.08,
Diluted NI Availto Com Stockholders,-2097000.0,1759000.0,1644000.0,-1545000.0,946000.0
Average Dilution Earnings,-99000.0,100000.0,,-99000.0,
Net Income Common Stockholders,-1998000.0,1659000.0,1644000.0,-1446000.0,946000.0
Preferred Stock Dividends,,100000.0,100000.0,99000.0,100000.0
Net Income,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Net Income Including Noncontrolling Interests,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Net Income Continuous Operations,-1998000.0,1759000.0,1744000.0,-1446000.0,1046000.0
Tax Provision,-508000.0,379000.0,473000.0,-372000.0,318000.0
Pretax Income,-2506000.0,2138000.0,2217000.0,-1818000.0,1364000.0
Other Income Expense,3000.0,6000.0,5000.0,3000.0,0.0
Net Non Operating Interest Income Expense,-855000.0,-850000.0,-807000.0,-750000.0,-661000.0
Interest Expense Non Operating,855000.0,850000.0,807000.0,750000.0,661000.0
Other Operating Expenses,4057000.0,3721000.0,3951000.0,3959000.0,3483000.0
Total Revenue,46997000.0,44591000.0,49188000.0,46269000.0,45231000.0
Operating Revenue,46997000.0,44591000.0,49188000.0,46269000.0,45231000.0
