,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-20810160.0,-3351600.0,-305130.0,-640135.0,-176087.162541,,
Tax Rate For Calcs,0.21,0.21,0.21,0.289,0.327909,,
Normalized EBITDA,69612000.0,63474000.0,50495000.0,75891000.0,80590000.0,,
Total Unusual Items,-99096000.0,-15960000.0,-1453000.0,-2215000.0,-537000.0,,
Total Unusual Items Excluding Goodwill,-99096000.0,-15960000.0,-1453000.0,-2215000.0,-537000.0,,
Net Income From Continuing Operation Net Minority Interest,-66580000.0,12922000.0,14186000.0,32346000.0,34885000.0,,
Reconciled Depreciation,23679000.0,20599000.0,20960000.0,21175000.0,21182000.0,,
Reconciled Cost Of Revenue,311677000.0,281654000.0,287886000.0,289725000.0,287849000.0,,
EBITDA,-29484000.0,47514000.0,49042000.0,73676000.0,80053000.0,,
EBIT,-53163000.0,26915000.0,28082000.0,52501000.0,58871000.0,,
Net Interest Income,-12027000.0,-8885000.0,-9077000.0,-10347000.0,-10754000.0,,
Interest Expense,12779000.0,9545000.0,9077000.0,10347000.0,10754000.0,,
Interest Income,752000.0,660000.0,,,0.0,0.0,
Normalized Income,11705840.0,25530400.0,15333870.0,33920865.0,35245912.837459,,
Net Income From Continuing And Discontinued Operation,-66580000.0,12922000.0,14186000.0,32346000.0,34885000.0,,
Total Expenses,438277000.0,400700000.0,413330000.0,407946000.0,404798000.0,,
Total Operating Income As Reported,-52510000.0,27624000.0,29013000.0,51718000.0,58449000.0,,
Diluted Average Shares,17592971.0,17669965.0,17765771.0,17864335.0,17940156.0,,
Basic Average Shares,17572447.0,17639764.0,17735186.0,17837858.0,17921395.0,,
Diluted EPS,-3.78,0.73,0.8,1.81,1.94,,
Basic EPS,-3.78,0.73,0.8,1.81,1.94,,
Diluted NI Availto Com Stockholders,-66498000.0,12900000.0,14169000.0,32261000.0,34767000.0,,
Net Income Common Stockholders,-66498000.0,12900000.0,14170000.0,32261000.0,34767000.0,,
Otherunder Preferred Stock Dividend,-82000.0,22000.0,16000.0,85000.0,118000.0,,
Net Income,-66580000.0,12922000.0,14186000.0,32346000.0,34885000.0,,
Minority Interests,-17000.0,5000.0,-3000.0,-26000.0,-25000.0,,
Net Income Including Noncontrolling Interests,-66563000.0,12917000.0,14189000.0,32372000.0,34910000.0,,
Net Income Continuous Operations,-66563000.0,12917000.0,14189000.0,32372000.0,34910000.0,,
Earnings From Equity Interest Net Of Tax,4851000.0,3089000.0,4031000.0,2385000.0,2571000.0,,
Tax Provision,5472000.0,7542000.0,8847000.0,12167000.0,15778000.0,,
Pretax Income,-65942000.0,17370000.0,19005000.0,42154000.0,48117000.0,,
Other Income Expense,-99038000.0,-15959000.0,-2674000.0,-1827000.0,102000.0,,
Other Non Operating Income Expenses,58000.0,1000.0,-1221000.0,388000.0,639000.0,,
Special Income Charges,-98013000.0,-12442000.0,-1794000.0,-1266000.0,190000.0,,
Gain On Sale Of Ppe,-40000.0,2148000.0,-51000.0,-56000.0,510000.0,,
Other Special Charges,,,0.0,-1000000.0,,,-1127000.0
Impairment Of Capital Assets,88840000.0,,,,0.0,,
Restructuring And Mergern Acquisition,9133000.0,14590000.0,1743000.0,2210000.0,320000.0,,
Gain On Sale Of Security,-1083000.0,-3518000.0,341000.0,-949000.0,-727000.0,,
Net Non Operating Interest Income Expense,-12027000.0,-8885000.0,-9077000.0,-10347000.0,-10754000.0,,
Interest Expense Non Operating,12779000.0,9545000.0,9077000.0,10347000.0,10754000.0,,
Interest Income Non Operating,752000.0,660000.0,,,0.0,0.0,
Operating Income,45123000.0,42214000.0,30756000.0,54328000.0,58769000.0,,
Operating Expense,126600000.0,119046000.0,125444000.0,118221000.0,116949000.0,,
Other Taxes,,-168000.0,13000.0,-732000.0,-868000.0,-2155000.0,
Selling General And Administration,126600000.0,119046000.0,125444000.0,118221000.0,116949000.0,,
General And Administrative Expense,126600000.0,119046000.0,,,116949000.0,124180000.0,121349000.0
Other Gand A,126600000.0,119046000.0,,,116949000.0,124180000.0,121349000.0
Salaries And Wages,,,,,464000.0,465000.0,359000.0
Gross Profit,171723000.0,161260000.0,156200000.0,172549000.0,175718000.0,,
Cost Of Revenue,311677000.0,281654000.0,287886000.0,289725000.0,287849000.0,,
Total Revenue,483400000.0,442914000.0,444086000.0,462274000.0,463567000.0,,
Operating Revenue,483400000.0,442914000.0,444086000.0,462274000.0,463567000.0,,
