,2023-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.25
Net Income From Continuing Operation Net Minority Interest,18496561.0
Net Interest Income,257845414.0
Interest Expense,187181286.0
Interest Income,445026700.0
Normalized Income,18496561.0
Net Income From Continuing And Discontinued Operation,18496561.0
Rent Expense Supplemental,3931797.0
Diluted Average Shares,68582162.0
Basic Average Shares,68582162.0
Diluted EPS,0.2
Basic EPS,0.2
Diluted NI Availto Com Stockholders,18496561.0
Net Income Common Stockholders,18496561.0
Net Income,18496561.0
Net Income Including Noncontrolling Interests,18496561.0
Net Income Continuous Operations,18496561.0
Tax Provision,-3004982.0
Pretax Income,15491579.0
Gain On Sale Of Security,-5639011.0
Selling General And Administration,207968301.0
Selling And Marketing Expense,140858277.0
General And Administrative Expense,67110024.0
Rent And Landing Fees,3931797.0
Salaries And Wages,63178227.0
Total Revenue,245794537.0
Operating Revenue,245794537.0
Other Non Interest Expense,-41116637.0
