,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-11524960.0,-16915080.0,-12922133.0,-5820908.0,-5043966.0,,
Total Unusual Items,358420.0,1164864.0,,,0.0,0.0,
Total Unusual Items Excluding Goodwill,358420.0,1164864.0,,,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Reconciled Depreciation,24158.0,12654.0,6567.0,6568.0,6569.0,,
EBITDA,-11166540.0,-15750216.0,-12922133.0,-5820908.0,-5043966.0,,
EBIT,-11190698.0,-15762870.0,-12928700.0,-5827476.0,-5050535.0,,
Net Interest Income,916755.0,919271.0,796123.0,49410.0,90927.0,,
Interest Income,916755.0,919271.0,796123.0,49410.0,90927.0,,
Normalized Income,-10273943.0,-14843599.0,-12132577.0,-5778066.0,-4959608.0,,
Net Income From Continuing And Discontinued Operation,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Total Expenses,11190698.0,15762870.0,12928700.0,5827476.0,5050535.0,,
Total Operating Income As Reported,-10832278.0,-14598006.0,-12928700.0,-5827476.0,-5050535.0,,
Diluted Average Shares,90009625.0,89537171.0,,8882570.0,7535667.0,6340697.0,
Basic Average Shares,90009625.0,89537171.0,,8882570.0,7535667.0,6340697.0,
Diluted EPS,-0.11,-0.15,,-0.65,-0.66,-0.73,
Basic EPS,-0.11,-0.15,,-0.65,-0.66,-0.73,
Diluted NI Availto Com Stockholders,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Net Income Common Stockholders,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Net Income,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Net Income Including Noncontrolling Interests,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Net Income Continuous Operations,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Pretax Income,-9915523.0,-13678735.0,-12132577.0,-5778066.0,-4959608.0,,
Other Income Expense,358420.0,1164864.0,,,,,
Special Income Charges,358420.0,1164864.0,,,0.0,0.0,
Restructuring And Mergern Acquisition,-358420.0,-1164864.0,,,0.0,0.0,
Net Non Operating Interest Income Expense,916755.0,919271.0,796123.0,49410.0,90927.0,,
Interest Income Non Operating,916755.0,919271.0,796123.0,49410.0,90927.0,,
Operating Income,-11190698.0,-15762870.0,-12928700.0,-5827476.0,-5050535.0,,
Operating Expense,11190698.0,15762870.0,12928700.0,5827476.0,5050535.0,,
Other Operating Expenses,,,,,,,-1.0
Research And Development,5270967.0,10513579.0,7193566.0,4189873.0,3075830.0,,
Selling General And Administration,5919731.0,5249291.0,5735134.0,1637603.0,1974705.0,,
Total Revenue,0.0,0.0,0.0,0.0,0.0,,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,,
