,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.158838,0.061,0.147885,0.178,0.14837
Normalized EBITDA,80569000.0,57484000.0,39754000.0,57160000.0,55363000.0
Net Income From Continuing Operation Net Minority Interest,25624000.0,15353000.0,3612000.0,12644000.0,11940000.0
Reconciled Depreciation,27893000.0,26430000.0,25521000.0,23881000.0,22350000.0
Reconciled Cost Of Revenue,295769000.0,265159000.0,254838000.0,248161000.0,234637000.0
EBITDA,80569000.0,57484000.0,39754000.0,57160000.0,55363000.0
EBIT,52676000.0,31054000.0,14233000.0,33279000.0,33013000.0
Net Interest Income,-7076000.0,-7115000.0,-6761000.0,-6869000.0,-6997000.0
Interest Expense,7076000.0,7115000.0,6761000.0,6869000.0,6997000.0
Normalized Income,25624000.0,15353000.0,3612000.0,12644000.0,11940000.0
Net Income From Continuing And Discontinued Operation,25624000.0,15353000.0,3612000.0,12644000.0,11940000.0
Total Expenses,361154000.0,324080000.0,327008000.0,305697000.0,292734000.0
Total Operating Income As Reported,54659000.0,31072000.0,15778000.0,32515000.0,32184000.0
Diluted Average Shares,126830000.0,121508000.0,115248000.0,114252000.0,102356000.0
Basic Average Shares,126390000.0,120810000.0,114668000.0,113819000.0,101965000.0
Diluted EPS,0.2,0.13,0.03,0.11,0.12
Basic EPS,0.2,0.13,0.03,0.11,0.12
Diluted NI Availto Com Stockholders,25655000.0,15353000.0,3722000.0,12644000.0,11963000.0
Average Dilution Earnings,31000.0,,,,23000.0
Net Income Common Stockholders,25624000.0,15353000.0,3612000.0,12644000.0,11940000.0
Net Income,25624000.0,15353000.0,3612000.0,12644000.0,11940000.0
Minority Interests,-12733000.0,-7127000.0,-2755000.0,-9068000.0,-10216000.0
Net Income Including Noncontrolling Interests,38357000.0,22480000.0,6367000.0,21712000.0,22156000.0
Net Income Continuous Operations,38357000.0,22480000.0,6367000.0,21712000.0,22156000.0
Tax Provision,7243000.0,1459000.0,1105000.0,4698000.0,3860000.0
Pretax Income,45600000.0,23939000.0,7472000.0,26410000.0,26016000.0
Other Income Expense,-1983000.0,-18000.0,-1545000.0,764000.0,829000.0
Other Non Operating Income Expenses,-1983000.0,-18000.0,-1545000.0,764000.0,829000.0
Net Non Operating Interest Income Expense,-7076000.0,-7115000.0,-6761000.0,-6869000.0,-6997000.0
Interest Expense Non Operating,7076000.0,7115000.0,6761000.0,6869000.0,6997000.0
Operating Income,54659000.0,31072000.0,15778000.0,32515000.0,32184000.0
Operating Expense,65385000.0,58921000.0,72170000.0,57536000.0,58097000.0
Selling General And Administration,65385000.0,58921000.0,72170000.0,57536000.0,58097000.0
Gross Profit,120044000.0,89993000.0,87948000.0,90051000.0,90281000.0
Cost Of Revenue,295769000.0,265159000.0,254838000.0,248161000.0,234637000.0
Total Revenue,415813000.0,355152000.0,342786000.0,338212000.0,324918000.0
Operating Revenue,415813000.0,355152000.0,342786000.0,338212000.0,324918000.0
