,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-270193.0,-12841.0
Net Income From Continuing Operation Net Minority Interest,2357270.0,-12841.0
EBITDA,-270193.0,-12841.0
EBIT,-270193.0,-12841.0
Net Interest Income,2627463.0,
Interest Income,2627463.0,
Normalized Income,2357270.0,-12841.0
Net Income From Continuing And Discontinued Operation,2357270.0,-12841.0
Total Expenses,270193.0,12841.0
Total Operating Income As Reported,-270193.0,
Diluted NI Availto Com Stockholders,2357270.0,-12841.0
Net Income Common Stockholders,2357270.0,-12841.0
Net Income,2357270.0,-12841.0
Net Income Including Noncontrolling Interests,2357270.0,-12841.0
Net Income Continuous Operations,2357270.0,-12841.0
Pretax Income,2357270.0,-12841.0
Net Non Operating Interest Income Expense,2627463.0,
Interest Income Non Operating,2627463.0,
Operating Income,-270193.0,-12841.0
Operating Expense,270193.0,12841.0
Other Operating Expenses,270193.0,12841.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
