GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-08 19:16:54,Citigroup,Buy,Buy,main
2024-08-05 13:26:23,JP Morgan,Overweight,Overweight,main
2024-08-05 12:10:39,Goldman Sachs,Buy,Buy,main
2024-07-18 12:26:58,UBS,Buy,,init
2024-07-01 09:27:10,Goldman Sachs,Buy,,init
2024-05-07 17:13:24,Citigroup,Buy,Buy,main
2024-05-06 16:03:00,TD Cowen,Buy,Buy,main
2024-04-15 14:45:38,Citigroup,Buy,Neutral,up
2024-04-09 11:31:30,B of A Securities,Buy,,init
2023-12-07 13:33:51,Benchmark,Buy,Buy,reit
2023-11-02 21:39:17,JP Morgan,Overweight,Overweight,main
2023-11-02 13:36:09,Goldman Sachs,Buy,Buy,main
2023-10-18 14:53:11,Benchmark,Buy,Buy,reit
2023-09-15 15:28:31,JP Morgan,Overweight,Overweight,main
2023-09-05 14:48:03,Morgan Stanley,Underweight,Underweight,main
2023-08-29 14:39:31,Benchmark,Buy,Buy,reit
2023-07-17 11:09:24,Citigroup,Neutral,Buy,down
2023-06-27 10:30:42,Wolfe Research,Outperform,,init
2023-06-02 10:45:35,MoffettNathanson,Outperform,,main
2023-05-30 12:44:03,Morgan Stanley,Underweight,Underweight,main
2023-05-08 11:21:48,TD Cowen,Outperform,,main
2023-05-08 10:14:23,Citigroup,Buy,,main
2023-03-27 09:27:44,Morgan Stanley,Underweight,Equal-Weight,down
2023-02-27 13:00:58,Credit Suisse,Neutral,,reit
2023-02-27 12:53:09,Cowen & Co.,Outperform,,main
2023-02-27 12:13:13,Raymond James,Strong Buy,Outperform,up
2022-12-15 14:49:06,Morgan Stanley,Equal-Weight,,main
2022-11-09 12:48:33,Citigroup,Buy,,main
2022-11-03 14:12:04,Goldman Sachs,Buy,,main
2022-10-24 13:23:11,Morgan Stanley,Equal-Weight,,main
2022-09-09 12:07:26,Credit Suisse,Neutral,,init
2022-07-12 12:06:14,Goldman Sachs,Buy,,main
2022-05-26 09:02:03,Morgan Stanley,Equal-Weight,Underweight,up
2022-04-26 10:56:11,Citigroup,Buy,,init
2022-04-07 10:59:47,Wells Fargo,Overweight,,init
2022-03-23 15:08:36,MoffettNathanson,Buy,Buy,main
2022-03-15 11:51:30,Truist Securities,Buy,,init
2022-02-24 14:17:08,Benchmark,Buy,,main
2022-02-07 09:48:34,JP Morgan,Overweight,,init
2021-12-14 14:04:21,Morgan Stanley,Underweight,,init
2021-11-05 15:10:42,MoffettNathanson,Buy,Buy,main
2021-11-04 11:34:23,Raymond James,Outperform,,main
2021-09-24 09:18:11,Raymond James,Outperform,,init
2021-08-18 15:13:13,MoffettNathanson,Buy,Buy,main
2021-07-21 10:20:51,Cowen & Co.,Outperform,,init
2021-07-06 10:15:27,Goldman Sachs,Buy,,init
2021-05-20 11:47:16,Benchmark,Buy,,init
