,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-9612750.0,-922740.0,6914670.0,-325920.0,-19536510.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21
Normalized EBITDA,-251352000.0,-228384000.0,-244666000.0,-194902000.0,-183864000.0
Total Unusual Items,-45775000.0,-4394000.0,32927000.0,-1552000.0,-93031000.0
Total Unusual Items Excluding Goodwill,-45775000.0,-4394000.0,32927000.0,-1552000.0,-93031000.0
Net Income From Continuing Operation Net Minority Interest,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Reconciled Depreciation,3747000.0,3146000.0,2741000.0,2722000.0,2699000.0
Reconciled Cost Of Revenue,25591000.0,19395000.0,24673000.0,19711000.0,19528000.0
EBITDA,-297127000.0,-232778000.0,-211739000.0,-196454000.0,-276895000.0
EBIT,-300874000.0,-235924000.0,-214480000.0,-199176000.0,-279594000.0
Net Interest Income,-21245000.0,-21569000.0,-21550000.0,-21054000.0,-21267000.0
Interest Expense,19569000.0,19747000.0,19802000.0,20334000.0,20177000.0
Interest Income,0.0,0.0,0.0,765000.0,710000.0
Normalized Income,-285523750.0,-253111740.0,-261560330.0,-219297920.0,-227114510.0
Net Income From Continuing And Discontinued Operation,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Total Expenses,361291000.0,322663000.0,349656000.0,292172000.0,275544000.0
Total Operating Income As Reported,-312876000.0,-248140000.0,-230414000.0,-213429000.0,-288904000.0
Diluted Average Shares,189302000.0,180860000.0,179021000.0,173721000.0,154702000.0
Basic Average Shares,189302000.0,180860000.0,179021000.0,173721000.0,154702000.0
Diluted EPS,-1.7,-1.42,-1.32,-1.27,-1.94
Basic EPS,-1.7,-1.42,-1.32,-1.27,-1.94
Diluted NI Availto Com Stockholders,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Net Income Common Stockholders,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Net Income,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Net Income Including Noncontrolling Interests,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Net Income Continuous Operations,-321686000.0,-256583000.0,-235548000.0,-220524000.0,-300609000.0
Tax Provision,1243000.0,912000.0,1266000.0,1014000.0,838000.0
Pretax Income,-320443000.0,-255671000.0,-234282000.0,-219510000.0,-299771000.0
Other Income Expense,-45322000.0,-4262000.0,32482000.0,291000.0,-93300000.0
Other Non Operating Income Expenses,453000.0,132000.0,-445000.0,1843000.0,-269000.0
Special Income Charges,-59000000.0,-18300000.0,14800000.0,-14682000.0,-103700000.0
Restructuring And Mergern Acquisition,59000000.0,18300000.0,-14800000.0,14682000.0,103700000.0
Gain On Sale Of Security,13225000.0,13906000.0,18127000.0,13130000.0,10669000.0
Net Non Operating Interest Income Expense,-21245000.0,-21569000.0,-21550000.0,-21054000.0,-21267000.0
Total Other Finance Cost,1676000.0,1822000.0,1748000.0,1485000.0,1800000.0
Interest Expense Non Operating,19569000.0,19747000.0,19802000.0,20334000.0,20177000.0
Interest Income Non Operating,0.0,0.0,0.0,765000.0,710000.0
Operating Income,-253876000.0,-229840000.0,-245214000.0,-198747000.0,-185204000.0
Operating Expense,333216000.0,301385000.0,323505000.0,271002000.0,254580000.0
Depreciation Amortization Depletion Income Statement,1263000.0,1263000.0,1263000.0,1263000.0,1263000.0
Depreciation And Amortization In Income Statement,1263000.0,1263000.0,1263000.0,1263000.0,1263000.0
Amortization,1263000.0,1263000.0,1263000.0,1263000.0,1263000.0
Amortization Of Intangibles Income Statement,1263000.0,1263000.0,1263000.0,1263000.0,1263000.0
Research And Development,177190000.0,152577000.0,179727000.0,150809000.0,146748000.0
Selling General And Administration,154763000.0,147545000.0,142515000.0,118930000.0,106569000.0
General And Administrative Expense,154763000.0,147545000.0,142515000.0,118930000.0,106569000.0
Other Gand A,76437000.0,70827000.0,76165000.0,58393000.0,59497000.0
Salaries And Wages,78326000.0,76718000.0,66350000.0,60537000.0,47072000.0
Gross Profit,79340000.0,71545000.0,78291000.0,72255000.0,69376000.0
Cost Of Revenue,28075000.0,21278000.0,26151000.0,21170000.0,20964000.0
Total Revenue,107415000.0,92823000.0,104442000.0,93425000.0,90340000.0
Operating Revenue,107415000.0,92823000.0,104442000.0,93425000.0,90340000.0
