,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.221911,0.222,0.120857,0.234,0.234134
Normalized EBITDA,9599000.0,11088000.0,10951000.0,12746000.0,7132000.0
Net Income From Continuing Operation Net Minority Interest,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Reconciled Depreciation,2443000.0,2382000.0,2446000.0,2675000.0,2624000.0
Reconciled Cost Of Revenue,62366000.0,67065000.0,74876000.0,70908000.0,60220000.0
EBITDA,9599000.0,11088000.0,10951000.0,12746000.0,7132000.0
EBIT,7156000.0,8706000.0,8505000.0,10071000.0,4508000.0
Net Interest Income,-2519000.0,-2356000.0,-3044000.0,-3180000.0,-6131000.0
Interest Expense,2519000.0,2356000.0,3044000.0,3180000.0,6131000.0
Normalized Income,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Net Income From Continuing And Discontinued Operation,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Total Expenses,98491000.0,105367000.0,119549000.0,104483000.0,93750000.0
Total Operating Income As Reported,7156000.0,8706000.0,8505000.0,10071000.0,4508000.0
Diluted Average Shares,7493000.0,7493000.0,7489000.0,7503000.0,7429000.0
Basic Average Shares,7461000.0,7459000.0,7454000.0,7449000.0,7429000.0
Diluted EPS,0.48,0.66,0.64,0.7,-0.17
Basic EPS,0.48,0.66,0.64,0.71,-0.17
Diluted NI Availto Com Stockholders,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Net Income Common Stockholders,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Net Income,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Net Income Including Noncontrolling Interests,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Net Income Continuous Operations,3608000.0,4941000.0,4801000.0,5279000.0,-1243000.0
Tax Provision,1029000.0,1409000.0,660000.0,1612000.0,-380000.0
Pretax Income,4637000.0,6350000.0,5461000.0,6891000.0,-1623000.0
Net Non Operating Interest Income Expense,-2519000.0,-2356000.0,-3044000.0,-3180000.0,-6131000.0
Interest Expense Non Operating,2519000.0,2356000.0,3044000.0,3180000.0,6131000.0
Operating Income,7156000.0,8706000.0,8505000.0,10071000.0,4508000.0
Operating Expense,36125000.0,38302000.0,44673000.0,33575000.0,33530000.0
Other Operating Expenses,36125000.0,38302000.0,44673000.0,33575000.0,33530000.0
Gross Profit,43281000.0,47008000.0,53178000.0,43646000.0,38038000.0
Cost Of Revenue,62366000.0,67065000.0,74876000.0,70908000.0,60220000.0
Total Revenue,105647000.0,114073000.0,128054000.0,114554000.0,98258000.0
Operating Revenue,105647000.0,114073000.0,128054000.0,114554000.0,98258000.0
