,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-7999000.0,-6895000.0,-2844000.0,-1673000.0
Total Unusual Items,-118000.0,-75000.0,-271000.0,-58000.0
Total Unusual Items Excluding Goodwill,-118000.0,-75000.0,-271000.0,-58000.0
Net Income From Continuing Operation Net Minority Interest,-9471000.0,-8185000.0,-4172000.0,-2536000.0
EBITDA,-8117000.0,-6970000.0,-3115000.0,-1731000.0
EBIT,-8117000.0,-6970000.0,-3115000.0,-1731000.0
Net Interest Income,-664000.0,-463000.0,-1057000.0,-719000.0
Interest Expense,1354000.0,1215000.0,1057000.0,805000.0
Interest Income,690000.0,752000.0,,86000.0
Normalized Income,-9353000.0,-8110000.0,-3901000.0,-2478000.0
Net Income From Continuing And Discontinued Operation,-9471000.0,-8185000.0,-4172000.0,-2536000.0
Total Expenses,9250000.0,7871000.0,2908000.0,1759000.0
Total Operating Income As Reported,-9250000.0,-7871000.0,-2908000.0,-1759000.0
Diluted Average Shares,11052741.0,11013697.0,11221307.0,11221307.0
Basic Average Shares,11052741.0,11013697.0,11221307.0,11221307.0
Diluted EPS,-0.86,-0.74,-0.389081,-0.243287
Basic EPS,-0.86,-0.74,-0.389081,-0.243287
Diluted NI Availto Com Stockholders,-9471000.0,-8185000.0,-4366000.0,-2730000.0
Net Income Common Stockholders,-9471000.0,-8185000.0,-4366000.0,-2730000.0
Preferred Stock Dividends,,,194000.0,194000.0
Net Income,-9471000.0,-8185000.0,-4172000.0,-2536000.0
Net Income Including Noncontrolling Interests,-9471000.0,-8185000.0,-4172000.0,-2536000.0
Net Income Continuous Operations,-9471000.0,-8185000.0,-4172000.0,-2536000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-9471000.0,-8185000.0,-4172000.0,-2536000.0
Other Income Expense,443000.0,149000.0,-207000.0,-58000.0
Other Non Operating Income Expenses,561000.0,224000.0,64000.0,86000.0
Gain On Sale Of Security,-118000.0,-75000.0,-271000.0,-58000.0
Net Non Operating Interest Income Expense,-664000.0,-463000.0,-1057000.0,-719000.0
Interest Expense Non Operating,1354000.0,1215000.0,1057000.0,805000.0
Interest Income Non Operating,690000.0,752000.0,,86000.0
Operating Income,-9250000.0,-7871000.0,-2908000.0,-1759000.0
Operating Expense,9250000.0,7871000.0,2908000.0,1759000.0
Research And Development,5118000.0,4074000.0,1442000.0,984000.0
Selling General And Administration,4132000.0,3797000.0,1466000.0,775000.0
General And Administrative Expense,4132000.0,3797000.0,1466000.0,775000.0
Other Gand A,4132000.0,3797000.0,1466000.0,775000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
