,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.014773,0.022236,0.016746,0.024741,0.020307
Net Income From Continuing Operation Net Minority Interest,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Net Interest Income,48669000.0,45017000.0,47258000.0,42323000.0,37952000.0
Interest Expense,18044000.0,17656000.0,19052000.0,16868000.0,13885000.0
Interest Income,66713000.0,62673000.0,66310000.0,59191000.0,51837000.0
Normalized Income,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Net Income From Continuing And Discontinued Operation,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Diluted Average Shares,65911570.0,62555531.0,63431004.0,58373696.0,54064395.0
Basic Average Shares,65911570.0,62555531.0,59407888.0,54412566.0,50161680.0
Diluted EPS,0.63,0.43,0.74,0.43,0.59
Basic EPS,0.63,0.43,0.77,0.45,0.61
Diluted NI Availto Com Stockholders,41414000.0,27087000.0,46768000.0,25310000.0,31738000.0
Average Dilution Earnings,0.0,0.0,910000.0,910000.0,910000.0
Net Income Common Stockholders,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Net Income,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Net Income Including Noncontrolling Interests,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Net Income Continuous Operations,41414000.0,27087000.0,45858000.0,24400000.0,30828000.0
Tax Provision,621000.0,616000.0,781000.0,619000.0,639000.0
Pretax Income,42035000.0,27703000.0,46639000.0,25019000.0,31467000.0
Gain On Sale Of Security,-8262000.0,-2154000.0,9286000.0,-13880000.0,-6488000.0
Operating Expense,16014000.0,14730000.0,16415000.0,14919000.0,13374000.0
Other Operating Expenses,-508000.0,-408000.0,-347000.0,-126000.0,
Selling General And Administration,4033000.0,4493000.0,4581000.0,3517000.0,3430000.0
General And Administrative Expense,4033000.0,4493000.0,4581000.0,3517000.0,3430000.0
Total Revenue,58049000.0,42433000.0,63054000.0,39938000.0,44841000.0
Operating Revenue,58049000.0,42433000.0,63054000.0,39938000.0,44841000.0
