,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,304369000.0,1700936000.0,-30974940.297119,322490000.0,-166595000.0,
Tax Rate For Calcs,0.169,0.173,0.177,0.17,0.143,
Normalized EBITDA,37391000000.0,36478000000.0,36676000000.0,33848000000.0,32491000000.0,
Total Unusual Items,1801000000.0,9832000000.0,-175000000.0,1897000000.0,-1165000000.0,
Total Unusual Items Excluding Goodwill,1801000000.0,9832000000.0,-175000000.0,1897000000.0,-1165000000.0,
Net Income From Continuing Operation Net Minority Interest,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Reconciled Depreciation,4998000000.0,4487000000.0,4205000000.0,3985000000.0,3708000000.0,
Reconciled Cost Of Revenue,39039000000.0,36361000000.0,40613000000.0,36474000000.0,35507000000.0,
EBITDA,39192000000.0,46310000000.0,36501000000.0,35745000000.0,31326000000.0,
EBIT,34194000000.0,41823000000.0,32296000000.0,31760000000.0,27618000000.0,
Net Interest Income,789000000.0,967000000.0,1035000000.0,1189000000.0,1023000000.0,
Interest Expense,261000000.0,34000000.0,53000000.0,54000000.0,67000000.0,
Interest Income,1050000000.0,1001000000.0,1088000000.0,1243000000.0,1090000000.0,
Normalized Income,26699369000.0,26408936000.0,26680025059.70288,24726490000.0,24617405000.0,
Net Income From Continuing And Discontinued Operation,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Total Expenses,65157000000.0,59628000000.0,65497000000.0,59747000000.0,57317000000.0,
Total Operating Income As Reported,31271000000.0,30606000000.0,30972000000.0,28521000000.0,27425000000.0,
Diluted Average Shares,12198000000.0,12291000000.0,12348000000.0,12419000000.0,12495000000.0,
Basic Average Shares,12122000000.0,12183000000.0,12228000000.0,12290000000.0,12343000000.0,
Diluted EPS,2.31,2.81,2.15,2.12,1.89,
Basic EPS,2.33,2.84,2.17,2.14,1.91,
Diluted NI Availto Com Stockholders,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Average Dilution Earnings,,2415000000.0,,,,1641000000.0
Net Income Common Stockholders,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Net Income,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Net Income Including Noncontrolling Interests,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Net Income Continuous Operations,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0,
Tax Provision,5737000000.0,7249000000.0,5707000000.0,5405000000.0,3932000000.0,
Pretax Income,33933000000.0,41789000000.0,32243000000.0,31706000000.0,27551000000.0,
Other Income Expense,1873000000.0,10216000000.0,236000000.0,1996000000.0,-897000000.0,
Other Non Operating Income Expenses,72000000.0,384000000.0,411000000.0,99000000.0,268000000.0,
Special Income Charges,419000000.0,-22000000.0,-87000000.0,-107000000.0,32000000.0,
Write Off,-419000000.0,22000000.0,87000000.0,107000000.0,-32000000.0,
Earnings From Equity Interest,,-22000000.0,-87000000.0,-107000000.0,32000000.0,-26000000.0
Gain On Sale Of Security,1382000000.0,9854000000.0,-88000000.0,2004000000.0,-1197000000.0,
Net Non Operating Interest Income Expense,789000000.0,967000000.0,1035000000.0,1189000000.0,1023000000.0,
Interest Expense Non Operating,261000000.0,34000000.0,53000000.0,54000000.0,67000000.0,
Interest Income Non Operating,1050000000.0,1001000000.0,1088000000.0,1243000000.0,1090000000.0,
Operating Income,31271000000.0,30606000000.0,30972000000.0,28521000000.0,27425000000.0,
Operating Expense,26118000000.0,23267000000.0,24884000000.0,23273000000.0,21810000000.0,
Research And Development,13808000000.0,13556000000.0,13116000000.0,12447000000.0,11860000000.0,
Selling General And Administration,12310000000.0,9711000000.0,11768000000.0,10826000000.0,9950000000.0,
Selling And Marketing Expense,7101000000.0,6172000000.0,7363000000.0,7227000000.0,6792000000.0,
General And Administrative Expense,5209000000.0,3539000000.0,4405000000.0,3599000000.0,3158000000.0,
Other Gand A,5209000000.0,3539000000.0,4405000000.0,3599000000.0,3158000000.0,
Gross Profit,57389000000.0,53873000000.0,55856000000.0,51794000000.0,49235000000.0,
Cost Of Revenue,39039000000.0,36361000000.0,40613000000.0,36474000000.0,35507000000.0,
Total Revenue,96428000000.0,90234000000.0,96469000000.0,88268000000.0,84742000000.0,
Operating Revenue,96428000000.0,90234000000.0,96469000000.0,88268000000.0,84742000000.0,
