,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.201149,0.281,0.21,0.21,0.261111
Net Income From Continuing Operation Net Minority Interest,139000000.0,142000000.0,7000000.0,3000000.0,133000000.0
Reconciled Depreciation,21000000.0,21000000.0,22000000.0,22000000.0,23000000.0
Net Interest Income,974000000.0,1006000000.0,987000000.0,1037000000.0,987000000.0
Interest Expense,220000000.0,225000000.0,231000000.0,240000000.0,241000000.0
Interest Income,1194000000.0,1231000000.0,1218000000.0,1277000000.0,1228000000.0
Normalized Income,139000000.0,142000000.0,7000000.0,3000000.0,133000000.0
Net Income From Continuing And Discontinued Operation,139000000.0,138000000.0,7000000.0,2000000.0,133000000.0
Diluted Average Shares,47200000.0,49600000.0,50900000.0,51000000.0,50200000.0
Basic Average Shares,46700000.0,49000000.0,49600000.0,49700000.0,49600000.0
Diluted EPS,2.94,2.78,0.14,0.05,2.66
Basic EPS,2.97,2.81,0.14,0.05,2.69
Diluted NI Availto Com Stockholders,139000000.0,138000000.0,7000000.0,2000000.0,133000000.0
Net Income Common Stockholders,139000000.0,138000000.0,7000000.0,2000000.0,133000000.0
Net Income,139000000.0,138000000.0,7000000.0,2000000.0,133000000.0
Net Income Including Noncontrolling Interests,139000000.0,138000000.0,7000000.0,2000000.0,133000000.0
Net Income Discontinuous Operations,0.0,-4000000.0,0.0,-1000000.0,0.0
Net Income Continuous Operations,139000000.0,142000000.0,7000000.0,3000000.0,133000000.0
Tax Provision,35000000.0,55000000.0,-34000000.0,37000000.0,47000000.0
Pretax Income,174000000.0,197000000.0,-27000000.0,40000000.0,180000000.0
Depreciation Amortization Depletion Income Statement,20000000.0,21000000.0,22000000.0,22000000.0,23000000.0
Depreciation And Amortization In Income Statement,20000000.0,21000000.0,22000000.0,22000000.0,23000000.0
Selling General And Administration,246000000.0,250000000.0,290000000.0,266000000.0,247000000.0
Selling And Marketing Expense,34000000.0,35000000.0,48000000.0,38000000.0,33000000.0
General And Administrative Expense,212000000.0,215000000.0,242000000.0,228000000.0,214000000.0
Salaries And Wages,212000000.0,215000000.0,242000000.0,228000000.0,214000000.0
Total Revenue,929000000.0,970000000.0,925000000.0,983000000.0,939000000.0
Operating Revenue,929000000.0,970000000.0,925000000.0,983000000.0,939000000.0
Occupancy And Equipment,5000000.0,5000000.0,5000000.0,5000000.0,6000000.0
Professional Expense And Contract Services Expense,27000000.0,29000000.0,27000000.0,25000000.0,31000000.0
Other Non Interest Expense,183000000.0,172000000.0,84000000.0,256000000.0,162000000.0
