,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,17618532.887835,-52731.0,8014284.0,-9396.878108,-9131833.260763,,
Tax Rate For Calcs,0.065725,0.021,0.036,0.002487,0.038639,,
Normalized EBITDA,105766000.0,-59156000.0,101177000.0,-5809000.0,31813000.0,,
Total Unusual Items,268065000.0,-2511000.0,222619000.0,-3779000.0,-236338000.0,,
Total Unusual Items Excluding Goodwill,268065000.0,-2511000.0,222619000.0,-3779000.0,-236338000.0,,
Net Income From Continuing Operation Net Minority Interest,257390000.0,-138792000.0,246791000.0,-62179000.0,-236242000.0,,
Reconciled Depreciation,94880000.0,78901000.0,66229000.0,51848000.0,40727000.0,,
Reconciled Cost Of Revenue,106526000.0,85424000.0,91159000.0,81946000.0,62330000.0,,
EBITDA,373831000.0,-61667000.0,323796000.0,-9588000.0,-204525000.0,,
EBIT,278951000.0,-140568000.0,257567000.0,-61436000.0,-245252000.0,,
Net Interest Income,-3099000.0,747000.0,-83000.0,1748000.0,2153000.0,,
Interest Expense,3454000.0,1267000.0,1559000.0,898000.0,485000.0,,
Interest Income,355000.0,2014000.0,1476000.0,2646000.0,2638000.0,,
Normalized Income,6943532.887835,-136333731.0,32186284.0,-58409396.878108,-9035833.260763,,
Net Income From Continuing And Discontinued Operation,257390000.0,-138792000.0,246791000.0,-62179000.0,-236242000.0,,
Total Expenses,220976000.0,194299000.0,171327000.0,149578000.0,115660000.0,,
Total Operating Income As Reported,246163000.0,-138024000.0,209976000.0,-65597000.0,-249078000.0,,
Diluted Average Shares,325594451.0,280853882.0,291887140.0,,228642939.0,212099068.0,
Basic Average Shares,280997649.0,280853882.0,284549900.0,,228642939.0,209287089.0,
Diluted EPS,0.78,-0.49,0.83,,-1.03,0.58,
Basic EPS,0.9,-0.49,0.85,,-1.03,0.59,
Diluted NI Availto Com Stockholders,251787000.0,-138792000.0,241650000.0,-62180000.0,-236242000.0,,
Net Income Common Stockholders,251787000.0,-138792000.0,241650000.0,-62180000.0,-236242000.0,,
Preferred Stock Dividends,5603000.0,,5141000.0,1000.0,,2842000.0,579000.0
Net Income,257390000.0,-138792000.0,246791000.0,-62179000.0,-236242000.0,,
Net Income Including Noncontrolling Interests,257390000.0,-138792000.0,246791000.0,-62179000.0,-236242000.0,,
Net Income Discontinuous Operations,,,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,257390000.0,-138792000.0,246791000.0,-62179000.0,-236242000.0,,
Tax Provision,18107000.0,-3043000.0,9217000.0,-155000.0,-9495000.0,,
Pretax Income,275497000.0,-141835000.0,256008000.0,-62334000.0,-245737000.0,,
Other Income Expense,300928000.0,-129995000.0,265112000.0,-3779000.0,-236338000.0,,
Other Non Operating Income Expenses,32863000.0,-127484000.0,42493000.0,,,119702000.0,
Special Income Charges,-156000.0,2230000.0,791000.0,-11311000.0,-189188000.0,,
Gain On Sale Of Ppe,-156000.0,2230000.0,791000.0,-3185000.0,47000.0,,
Write Off,0.0,0.0,,320000.0,0.0,396000.0,
Impairment Of Capital Assets,0.0,,,7806000.0,189235000.0,,
Restructuring And Mergern Acquisition,,,,0.0,0.0,0.0,0.0
Gain On Sale Of Security,268221000.0,-4741000.0,221828000.0,7532000.0,-47150000.0,,
Net Non Operating Interest Income Expense,-3099000.0,747000.0,-83000.0,1748000.0,2153000.0,,
Interest Expense Non Operating,3454000.0,1267000.0,1559000.0,898000.0,485000.0,,
Interest Income Non Operating,355000.0,2014000.0,1476000.0,2646000.0,2638000.0,,
Operating Income,-22332000.0,-12587000.0,-9021000.0,-60303000.0,-11552000.0,,
Operating Expense,114450000.0,108875000.0,80168000.0,67632000.0,53330000.0,,
Depreciation Amortization Depletion Income Statement,94880000.0,78901000.0,66229000.0,51848000.0,40727000.0,,
Depreciation And Amortization In Income Statement,94880000.0,78901000.0,66229000.0,51848000.0,40727000.0,,
Selling General And Administration,19570000.0,29974000.0,13939000.0,15784000.0,12603000.0,,
General And Administrative Expense,19570000.0,29974000.0,13939000.0,15784000.0,12603000.0,,
Other Gand A,19570000.0,14719000.0,13939000.0,15784000.0,12603000.0,,
Salaries And Wages,,15255000.0,,,,16820000.0,
Gross Profit,92118000.0,96288000.0,71147000.0,7329000.0,41778000.0,,
Cost Of Revenue,106526000.0,85424000.0,91159000.0,81946000.0,62330000.0,,
Total Revenue,198644000.0,181712000.0,162306000.0,89275000.0,104108000.0,,
Operating Revenue,198644000.0,181712000.0,162306000.0,89275000.0,104108000.0,,
