,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.021133,0.0,0.21,0.04965,0.005001,
Net Income From Continuing Operation Net Minority Interest,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Interest Income,3911000.0,4625000.0,4774000.0,4790000.0,4248000.0,
Interest Expense,4210000.0,3138000.0,2807000.0,2808000.0,3344000.0,
Interest Income,8121000.0,7763000.0,7581000.0,7598000.0,7592000.0,
Normalized Income,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Income From Continuing And Discontinued Operation,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Diluted Average Shares,10449888.0,9551037.0,8659344.0,,7601958.0,7601958.0
Basic Average Shares,10449888.0,9551037.0,8659344.0,,7601958.0,7601958.0
Diluted EPS,0.33,-0.14,-0.05,,1.02,0.68
Basic EPS,0.33,-0.14,-0.05,,1.02,0.68
Diluted NI Availto Com Stockholders,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Income Common Stockholders,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Income,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Income Including Noncontrolling Interests,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Net Income Continuous Operations,3474000.0,-1326000.0,-458000.0,4211000.0,7760000.0,
Tax Provision,75000.0,0.0,5000.0,220000.0,39000.0,
Pretax Income,3549000.0,-1326000.0,-453000.0,4431000.0,7799000.0,
Gain On Sale Of Security,223000.0,-470000.0,2356000.0,-5270000.0,-1824000.0,
Operating Expense,1151000.0,1520000.0,1166000.0,1147000.0,1179000.0,
Other Operating Expenses,,335000.0,,,,326000.0
Selling General And Administration,1151000.0,1185000.0,1166000.0,1147000.0,1179000.0,
General And Administrative Expense,1151000.0,1185000.0,1166000.0,1147000.0,1179000.0,
Total Revenue,4700000.0,194000.0,713000.0,5578000.0,8978000.0,
Operating Revenue,4700000.0,194000.0,713000.0,5578000.0,8978000.0,
