,2023-06-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.23
Normalized EBITDA,2687000.0
Net Income From Continuing Operation Net Minority Interest,761000.0
Reconciled Depreciation,-58900000.0
Reconciled Cost Of Revenue,806000.0
EBITDA,2687000.0
EBIT,2687000.0
Net Interest Income,5169000.0
Interest Expense,1926000.0
Interest Income,7095000.0
Normalized Income,761000.0
Net Income From Continuing And Discontinued Operation,761000.0
Total Expenses,6204000.0
Total Operating Income As Reported,-4408000.0
Diluted NI Availto Com Stockholders,761000.0
Net Income Common Stockholders,761000.0
Net Income,761000.0
Net Income Including Noncontrolling Interests,761000.0
Net Income Continuous Operations,761000.0
Pretax Income,761000.0
Net Non Operating Interest Income Expense,5169000.0
Interest Expense Non Operating,1926000.0
Interest Income Non Operating,7095000.0
Operating Income,-4408000.0
Operating Expense,5398000.0
Other Operating Expenses,-3909000.0
Research And Development,1247000.0
Selling General And Administration,8060000.0
Selling And Marketing Expense,4522000.0
General And Administrative Expense,3538000.0
Other Gand A,3538000.0
Gross Profit,990000.0
Cost Of Revenue,806000.0
Total Revenue,1796000.0
Operating Revenue,1796000.0
