GradeDate,Firm,ToGrade,FromGrade,Action
2021-10-07 11:26:22,Stephens & Co.,Equal-Weight,Overweight,down
2021-07-29 11:52:40,Morgan Stanley,Overweight,,main
2021-07-21 11:27:06,Morgan Stanley,Overweight,,main
2021-05-27 10:22:28,Deutsche Bank,Buy,,init
2021-04-19 13:10:16,Morgan Stanley,Overweight,,main
2021-04-09 10:46:26,Evercore ISI Group,Outperform,,init
2021-04-01 11:48:12,Morgan Stanley,Overweight,,main
2021-01-25 14:07:02,Morgan Stanley,Overweight,,main
2021-01-13 13:40:35,Credit Suisse,Outperform,,main
2021-01-04 10:02:35,Barclays,Overweight,Equal-Weight,up
2020-12-21 11:25:29,RBC Capital,Outperform,,init
2020-11-30 14:12:48,Morgan Stanley,Overweight,,main
2020-11-06 17:17:59,Credit Suisse,Outperform,,main
2020-10-19 16:29:07,Credit Suisse,Outperform,,main
2020-10-19 11:56:38,Morgan Stanley,Overweight,,main
2020-10-19 11:43:51,Piper Sandler,Overweight,,main
2020-09-23 13:02:48,Piper Sandler,Overweight,,main
2020-07-29 15:43:29,UBS,Buy,,main
2020-07-15 11:59:31,JP Morgan,Overweight,Neutral,up
2020-06-25 13:38:00,Credit Suisse,Outperform,,main
2020-06-25 12:40:00,Morgan Stanley,Overweight,,main
2020-05-28 11:12:33,Morgan Stanley,Overweight,Equal-Weight,up
2020-05-20 12:45:13,Piper Sandler,Overweight,,main
2020-05-15 09:25:33,BMO Capital,Outperform,Market Perform,up
2020-04-21 14:30:09,BMO Capital,Market Perform,,main
2020-04-21 14:29:17,Nomura,Buy,,main
2020-04-21 12:34:14,Wells Fargo,Overweight,,main
2020-04-21 11:41:39,BTIG,Neutral,Buy,down
2020-04-21 10:52:26,CFRA,Strong Sell,,reit
2020-04-14 12:03:51,Nomura,Buy,,main
2020-04-09 16:16:59,Piper Sandler,Overweight,,main
2020-02-20 15:20:47,Nomura,Buy,Neutral,up
2020-02-20 15:07:29,Credit Suisse,Outperform,,main
2020-02-20 10:13:02,Barclays,Equal-Weight,Overweight,down
2020-01-23 14:23:58,Nomura,Neutral,,main
2020-01-23 13:38:02,Wells Fargo,Overweight,,main
2019-10-17 13:10:53,Citigroup,Buy,,main
2019-10-08 10:49:21,JP Morgan,Neutral,Overweight,down
2019-09-12 12:06:33,Barclays,Overweight,,main
2019-09-09 11:42:03,Citigroup,Buy,,main
2019-09-09 10:42:02,Stephens & Co.,Overweight,Equal-Weight,up
2019-07-19 12:48:36,Nomura,Neutral,,main
2019-04-22 14:09:02,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-02-26 13:12:51,Piper Sandler,Buy,Hold,up
2018-10-26 14:47:58,Nomura,Neutral,Neutral,main
2018-10-04 10:41:49,Oppenheimer,Outperform,Outperform,main
2018-07-30 12:08:49,B of A Securities,Buy,Neutral,up
2018-06-29 12:07:19,Janney Montgomery Scott,Buy,Neutral,up
2018-06-19 10:11:54,Nomura Instinet,Neutral,,init
2018-04-30 13:06:48,Morgan Stanley,Overweight,Overweight,main
2018-04-27 13:58:30,Morgan Stanley,Overweight,Overweight,main
2018-03-28 11:54:55,UBS,Buy,,init
2018-03-19 12:38:54,BMO Capital,Market Perform,Market Perform,main
2018-01-31 14:31:22,Credit Suisse,Outperform,Outperform,main
2018-01-31 13:35:09,Morgan Stanley,Overweight,Overweight,main
2018-01-31 11:55:26,BMO Capital,Market Perform,Outperform,down
2018-01-12 14:17:47,JP Morgan,Neutral,Overweight,down
2018-01-09 13:53:04,Oppenheimer,Outperform,,init
2017-10-26 17:12:27,Credit Suisse,Outperform,,main
2017-10-26 15:18:54,Barclays,Overweight,,main
2017-10-26 12:39:25,BMO Capital,Outperform,,main
2017-10-26 11:32:02,Morgan Stanley,Overweight,,main
2017-10-17 12:55:36,Citigroup,Buy,,init
