,2023-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-3625000.0
Total Unusual Items,-132000.0
Total Unusual Items Excluding Goodwill,-132000.0
Net Income From Continuing Operation Net Minority Interest,-3658000.0
Reconciled Depreciation,22000.0
EBITDA,-3757000.0
EBIT,-3779000.0
Net Interest Income,465000.0
Interest Income,478000.0
Normalized Income,-3526000.0
Net Income From Continuing And Discontinued Operation,-3658000.0
Total Expenses,3991000.0
Total Operating Income As Reported,-4085000.0
Diluted NI Availto Com Stockholders,-3658000.0
Net Income Common Stockholders,-3658000.0
Net Income,-3658000.0
Net Income Including Noncontrolling Interests,-3658000.0
Net Income Continuous Operations,-3658000.0
Pretax Income,-3658000.0
Other Income Expense,-132000.0
Special Income Charges,0.0
Impairment Of Capital Assets,0.0
Net Non Operating Interest Income Expense,465000.0
Interest Income Non Operating,478000.0
Operating Income,-3991000.0
Operating Expense,3991000.0
Research And Development,130000.0
Selling General And Administration,3867000.0
General And Administrative Expense,3867000.0
Other Gand A,1490000.0
Total Revenue,0.0
Operating Revenue,0.0
