,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.246,0.187,0.202,0.21,0.225,
Normalized EBITDA,3199000.0,2327000.0,2013000.0,173000.0,2238000.0,
Net Income From Continuing Operation Net Minority Interest,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Reconciled Depreciation,278000.0,220000.0,224000.0,233000.0,205000.0,
Reconciled Cost Of Revenue,6904000.0,6307000.0,6406000.0,6080000.0,6230000.0,
EBITDA,3199000.0,2327000.0,2013000.0,173000.0,2238000.0,
EBIT,2921000.0,2107000.0,1789000.0,-60000.0,2033000.0,
Net Interest Income,63000.0,44000.0,32000.0,13000.0,1000.0,
Interest Expense,,,,,,5000.0
Normalized Income,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Net Income From Continuing And Discontinued Operation,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Total Expenses,10293000.0,9701000.0,9396000.0,10833000.0,8855000.0,
Total Operating Income As Reported,2921000.0,2107000.0,1789000.0,-60000.0,2033000.0,
Diluted Average Shares,2800820.0,2779802.0,2784960.0,,2759780.0,2711266.0
Basic Average Shares,2751924.0,2728599.0,2716202.0,,2703840.0,2697696.0
Diluted EPS,0.81,0.63,0.53,,0.57,0.47
Basic EPS,0.82,0.64,0.55,,0.59,0.473367
Diluted NI Availto Com Stockholders,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Net Income Common Stockholders,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Net Income,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Net Income Including Noncontrolling Interests,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Net Income Continuous Operations,2267000.0,1744000.0,1486000.0,73000.0,1586000.0,
Tax Provision,741000.0,402000.0,377000.0,-20000.0,460000.0,
Pretax Income,3008000.0,2146000.0,1863000.0,53000.0,2046000.0,
Other Income Expense,24000.0,-5000.0,42000.0,100000.0,12000.0,
Other Non Operating Income Expenses,24000.0,-5000.0,42000.0,100000.0,12000.0,
Net Non Operating Interest Income Expense,63000.0,44000.0,32000.0,13000.0,1000.0,
Total Other Finance Cost,-63000.0,-44000.0,-32000.0,-13000.0,-1000.0,
Interest Expense Non Operating,,,,,,5000.0
Operating Income,2921000.0,2107000.0,1789000.0,-60000.0,2033000.0,
Operating Expense,3389000.0,3394000.0,2990000.0,4753000.0,2625000.0,
Selling General And Administration,3389000.0,3394000.0,2990000.0,4753000.0,2625000.0,
Gross Profit,6310000.0,5501000.0,4779000.0,4693000.0,4658000.0,
Cost Of Revenue,6904000.0,6307000.0,6406000.0,6080000.0,6230000.0,
Total Revenue,13214000.0,11808000.0,11185000.0,10773000.0,10888000.0,
Operating Revenue,13214000.0,11808000.0,11185000.0,10773000.0,10888000.0,
