,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.029327,0.088,0.123599,0.108,0.1388
Net Income From Continuing Operation Net Minority Interest,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Reconciled Depreciation,405000.0,418000.0,427000.0,400000.0,404000.0
Net Interest Income,9380000.0,8928000.0,9007000.0,9068000.0,9571000.0
Interest Expense,7068000.0,6613000.0,6314000.0,5699000.0,4185000.0
Interest Income,16448000.0,15541000.0,15321000.0,14767000.0,13756000.0
Normalized Income,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Net Income From Continuing And Discontinued Operation,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Diluted Average Shares,4553124.0,4537181.0,4483824.0,4521429.0,4498333.0
Basic Average Shares,4521829.0,4519209.0,4483824.0,4521429.0,4498333.0
Diluted EPS,0.45,0.53,0.68,0.56,0.6
Basic EPS,0.45,0.53,0.68,0.56,0.6
Diluted NI Availto Com Stockholders,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Net Income Common Stockholders,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Net Income,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Net Income Including Noncontrolling Interests,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Net Income Continuous Operations,2019000.0,2417000.0,3049000.0,2532000.0,2699000.0
Tax Provision,61000.0,165000.0,430000.0,296000.0,435000.0
Pretax Income,2080000.0,2582000.0,3479000.0,2828000.0,3134000.0
Gain On Sale Of Security,33000.0,95000.0,128000.0,-41000.0,56000.0
Depreciation Amortization Depletion Income Statement,62000.0,,,,77000.0
Depreciation And Amortization In Income Statement,62000.0,,,,77000.0
Amortization,62000.0,,,,77000.0
Amortization Of Intangibles Income Statement,62000.0,,,,77000.0
Selling General And Administration,5972000.0,5042000.0,6309000.0,4937000.0,5669000.0
Selling And Marketing Expense,213000.0,,,,192000.0
General And Administrative Expense,5759000.0,5042000.0,5650000.0,4937000.0,5477000.0
Other Gand A,65000.0,,,,50000.0
Insurance And Claims,289000.0,,,,283000.0
Salaries And Wages,5405000.0,5042000.0,4652000.0,4937000.0,5144000.0
Total Revenue,11860000.0,11575000.0,10863000.0,11615000.0,11840000.0
Operating Revenue,11860000.0,11575000.0,10863000.0,11615000.0,11840000.0
