quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.3,0.19175,0.11,0.56450003
2025-03-31,0.25,0.12325,0.13,1.0284
2024-12-31,0.36,0.30503,0.05,0.18020001
2024-09-30,0.23,0.26523,-0.04,-0.1328
