,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1230600000.0,131700000.0,4692095506.930385,-1335442000.0,1817588756.727421,
Tax Rate For Calcs,0.3,0.3,0.37171,0.314,0.296459,
Normalized EBITDA,20246000000.0,16501000000.0,15891000000.0,23360000000.0,21579000000.0,
Total Unusual Items,-4102000000.0,439000000.0,12623000000.0,-4253000000.0,6131000000.0,
Total Unusual Items Excluding Goodwill,-4102000000.0,439000000.0,12623000000.0,-4253000000.0,6131000000.0,
Net Income From Continuing Operation Net Minority Interest,2867000000.0,3930000000.0,11285000000.0,5397000000.0,9870000000.0,
Reconciled Cost Of Revenue,125442000000.0,116902000000.0,117572000000.0,117403000000.0,116305000000.0,
EBITDA,16144000000.0,16940000000.0,28514000000.0,19107000000.0,27710000000.0,
EBIT,16144000000.0,16940000000.0,28514000000.0,19107000000.0,27710000000.0,
Net Interest Income,-2617000000.0,-1413000000.0,-8462000000.0,1573000000.0,-1509000000.0,
Interest Expense,5301000000.0,5180000000.0,2830000000.0,4453000000.0,5599000000.0,
Interest Income,2051000000.0,2134000000.0,2818000000.0,2247000000.0,4136000000.0,
Normalized Income,5738400000.0,3622700000.0,3354095506.930385,8314558000.0,5556588756.727421,
Net Income From Continuing And Discontinued Operation,2710000000.0,6420000000.0,14627000000.0,1645000000.0,10284000000.0,
Total Expenses,193533000000.0,182256000000.0,186303000000.0,179397000000.0,181119000000.0,
Total Operating Income As Reported,17832000000.0,13565000000.0,,17374000000.0,17626000000.0,12936000000.0
Diluted Average Shares,1734734764.0,1735017264.0,1789113135.0,1789113135.0,,1789113135.0
Basic Average Shares,1734734764.0,1735017264.0,1789113135.0,1789113135.0,,1789113135.0
Diluted EPS,1.562198,3.700251,5.287536,0.91945,5.748099,
Basic EPS,1.562198,3.700251,5.287536,0.91945,5.748099,
Diluted NI Availto Com Stockholders,2710000000.0,6420000000.0,14627000000.0,1645000000.0,10284000000.0,
Net Income Common Stockholders,2710000000.0,6420000000.0,14627000000.0,1645000000.0,10284000000.0,
Net Income,2710000000.0,6420000000.0,14627000000.0,1645000000.0,10284000000.0,
Minority Interests,-2881000000.0,-3138000000.0,-4170000000.0,-3345000000.0,-5386000000.0,
Net Income Including Noncontrolling Interests,5591000000.0,9558000000.0,18797000000.0,4990000000.0,15670000000.0,
Net Income Discontinuous Operations,-157000000.0,2490000000.0,3342000000.0,-3752000000.0,414000000.0,
Net Income Continuous Operations,5748000000.0,7068000000.0,15455000000.0,8742000000.0,15256000000.0,
Earnings From Equity Interest Net Of Tax,-756000000.0,89000000.0,-682000000.0,24000000.0,-300000000.0,
Tax Provision,4339000000.0,4781000000.0,9547000000.0,5936000000.0,6555000000.0,
Pretax Income,10843000000.0,11760000000.0,25684000000.0,14654000000.0,22111000000.0,
Other Income Expense,-4371000000.0,-391000000.0,11729000000.0,-4293000000.0,5994000000.0,
Other Non Operating Income Expenses,-269000000.0,-830000000.0,-894000000.0,-40000000.0,-137000000.0,
Gain On Sale Of Security,-4102000000.0,439000000.0,16270000000.0,-4253000000.0,6131000000.0,
Net Non Operating Interest Income Expense,-2617000000.0,-1413000000.0,-8462000000.0,1573000000.0,-1509000000.0,
Total Other Finance Cost,-633000000.0,-1633000000.0,,-3779000000.0,46000000.0,1416000000.0
Interest Expense Non Operating,5301000000.0,5180000000.0,2830000000.0,4453000000.0,5599000000.0,
Interest Income Non Operating,2051000000.0,2134000000.0,2818000000.0,2247000000.0,4136000000.0,
Operating Income,17831000000.0,13564000000.0,22417000000.0,17374000000.0,17626000000.0,
Operating Expense,68091000000.0,65354000000.0,68731000000.0,61994000000.0,64814000000.0,
Other Operating Expenses,-318000000.0,-36000000.0,16000000.0,-234000000.0,168000000.0,
Selling General And Administration,68409000000.0,65390000000.0,68871000000.0,62228000000.0,64646000000.0,
Selling And Marketing Expense,58147000000.0,55423000000.0,57259000000.0,52561000000.0,55170000000.0,
General And Administrative Expense,10262000000.0,9967000000.0,11612000000.0,9667000000.0,9476000000.0,
Other Gand A,10262000000.0,9967000000.0,11612000000.0,9667000000.0,9476000000.0,
Gross Profit,85922000000.0,78918000000.0,91148000000.0,79368000000.0,82440000000.0,
Cost Of Revenue,125442000000.0,116902000000.0,117572000000.0,117403000000.0,116305000000.0,
Total Revenue,211364000000.0,195820000000.0,208719000000.0,196771000000.0,198744000000.0,
Operating Revenue,211364000000.0,195820000000.0,202685000000.0,196771000000.0,198744000000.0,
