,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.076355,0.024033,0.064284,0.21,0.032939,
Net Income From Continuing Operation Net Minority Interest,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Interest Income,10129000.0,10047000.0,10734000.0,11923000.0,12626000.0,
Interest Expense,6141000.0,6185000.0,6497000.0,6928000.0,7144000.0,
Interest Income,16270000.0,16232000.0,17231000.0,18851000.0,19770000.0,
Normalized Income,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Income From Continuing And Discontinued Operation,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Diluted Average Shares,23243088.0,23243088.0,,23243088.0,23243088.0,23243088.0
Basic Average Shares,23243088.0,23243088.0,,23243088.0,23243088.0,23243088.0
Diluted EPS,0.1,0.18,,-0.3,0.34,0.26
Basic EPS,0.1,0.18,,-0.3,0.34,0.26
Diluted NI Availto Com Stockholders,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Income Common Stockholders,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Income,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Income Including Noncontrolling Interests,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Net Income Continuous Operations,2250000.0,4264000.0,3901000.0,-6858000.0,7839000.0,
Tax Provision,186000.0,105000.0,268000.0,294000.0,267000.0,
Pretax Income,2436000.0,4369000.0,4169000.0,-6564000.0,8106000.0,
Gain On Sale Of Security,-21276000.0,-373000.0,-12262000.0,10000.0,-85000.0,
Operating Expense,1465000.0,1124000.0,1342000.0,1172000.0,1391000.0,
Selling General And Administration,1465000.0,1124000.0,1342000.0,1172000.0,1391000.0,
General And Administrative Expense,1465000.0,1124000.0,1342000.0,1172000.0,1391000.0,
Total Revenue,3901000.0,5493000.0,5511000.0,-5392000.0,9497000.0,
Operating Revenue,3901000.0,5493000.0,5511000.0,-5392000.0,9497000.0,
