,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.185,0.183,0.193,0.14604,,
Normalized EBITDA,265688000.0,233766000.0,183396000.0,175332000.0,142909000.0,,
Net Income From Continuing Operation Net Minority Interest,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Reconciled Depreciation,4286000.0,6905000.0,4584000.0,6126000.0,4540000.0,,
Reconciled Cost Of Revenue,416422000.0,368296000.0,352649000.0,318726000.0,303321000.0,,
EBITDA,265688000.0,233766000.0,183396000.0,175332000.0,142909000.0,,
EBIT,261402000.0,226861000.0,178812000.0,169206000.0,138369000.0,,
Net Interest Income,-3191000.0,-5420000.0,-11440000.0,-10578000.0,-16813000.0,,
Interest Expense,3191000.0,5420000.0,11440000.0,10578000.0,16813000.0,,
Normalized Income,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Net Income From Continuing And Discontinued Operation,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Total Expenses,497750000.0,437309000.0,421067000.0,381138000.0,369092000.0,,
Total Operating Income As Reported,261402000.0,226861000.0,178812000.0,169206000.0,138369000.0,,
Diluted Average Shares,,60545000.0,60527000.0,60494000.0,,60463000.0,60451000.0
Basic Average Shares,,60490000.0,60470000.0,60469000.0,,60461000.0,60448000.0
Diluted EPS,,2.98,2.26,2.12,,1.26,1.36
Basic EPS,,2.98,2.26,2.12,,1.26,1.36
Diluted NI Availto Com Stockholders,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Net Income Common Stockholders,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Net Income,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Net Income Including Noncontrolling Interests,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Net Income Continuous Operations,266705000.0,180435000.0,136795000.0,127988000.0,103804000.0,,
Tax Provision,-8494000.0,41006000.0,30577000.0,30640000.0,17752000.0,,
Pretax Income,258211000.0,221441000.0,167372000.0,158628000.0,121556000.0,,
Net Non Operating Interest Income Expense,-3191000.0,-5420000.0,-11440000.0,-10578000.0,-16813000.0,,
Interest Expense Non Operating,3191000.0,5420000.0,11440000.0,10578000.0,16813000.0,,
Operating Income,261402000.0,226861000.0,178812000.0,169206000.0,138369000.0,,
Operating Expense,81328000.0,69013000.0,68418000.0,62412000.0,65771000.0,,
Research And Development,47455000.0,44262000.0,39958000.0,37997000.0,44076000.0,,
Selling General And Administration,33873000.0,24751000.0,28460000.0,24415000.0,21695000.0,,
Gross Profit,342730000.0,295874000.0,247230000.0,231618000.0,204140000.0,,
Cost Of Revenue,416422000.0,368296000.0,352649000.0,318726000.0,303321000.0,,
Total Revenue,759152000.0,664170000.0,599879000.0,550344000.0,507461000.0,,
Operating Revenue,759152000.0,664170000.0,599879000.0,550344000.0,507461000.0,,
