GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-05 13:33:55,Stifel,Buy,Buy,main
2024-07-25 11:54:06,BTIG,Buy,,init
2024-05-08 17:46:58,HSBC,Buy,Buy,main
2024-05-06 15:35:35,Goldman Sachs,Buy,Buy,main
2024-04-30 13:18:47,Stifel,Buy,Buy,main
2024-04-23 15:24:58,Barclays,Overweight,Overweight,main
2024-04-16 14:24:01,Piper Sandler,Overweight,Overweight,reit
2024-04-02 13:03:15,Stifel,Buy,Buy,main
2024-02-20 15:24:55,Piper Sandler,Overweight,Overweight,main
2024-02-14 14:39:12,Barclays,Overweight,Overweight,main
2024-01-17 15:19:26,Goldman Sachs,Buy,Buy,main
2023-11-06 15:23:58,Piper Sandler,Overweight,Overweight,main
2023-10-30 15:22:27,Stifel,Buy,Buy,main
2023-09-12 16:16:03,Stifel,Buy,Buy,reit
2023-09-06 09:34:51,HSBC,Buy,,init
2023-08-28 11:23:28,Stifel,Buy,Buy,main
2023-08-14 13:33:03,Piper Sandler,Overweight,Overweight,main
2023-08-10 11:07:12,Goldman Sachs,Buy,Buy,main
2023-06-14 08:37:19,Atlantic Equities,Overweight,Overweight,reit
2023-05-26 09:32:24,Atlantic Equities,Overweight,Overweight,reit
2023-05-08 13:39:21,Piper Sandler,Overweight,,main
2023-02-21 11:28:57,Barclays,Overweight,,main
2022-11-15 13:43:17,Morgan Stanley,Overweight,,main
2022-11-04 19:46:42,B of A Securities,Buy,Buy,main
2022-11-04 15:12:40,Goldman Sachs,Buy,,main
2022-10-17 12:48:34,JP Morgan,Overweight,,main
2022-07-21 09:53:11,Goldman Sachs,Buy,,main
2022-07-12 09:31:43,Piper Sandler,Overweight,,init
2022-06-29 20:01:05,Stifel,Buy,Buy,main
2022-06-24 12:11:52,Stifel,Buy,,main
2022-06-17 19:40:14,Argus Research,Buy,Buy,main
2022-05-19 12:10:34,Goldman Sachs,Buy,,main
2022-03-09 12:28:40,Citigroup,Neutral,,main
2022-02-16 20:45:47,B of A Securities,Buy,Buy,main
2022-01-10 20:52:05,Barclays,Overweight,Overweight,main
2022-01-07 21:00:06,Stifel,Buy,Buy,main
2021-12-20 14:51:57,Citigroup,Neutral,,main
2021-11-18 13:50:11,Morgan Stanley,Overweight,,init
2021-11-09 20:54:38,Goldman Sachs,Buy,Buy,main
2021-11-05 15:09:56,Barclays,Overweight,,main
2021-10-27 19:44:53,B of A Securities,Buy,Buy,main
2021-10-26 19:59:09,Stifel,Buy,Buy,main
2021-08-09 11:36:01,Credit Suisse,Outperform,,main
2021-08-06 13:30:30,Barclays,Overweight,,main
2021-08-05 19:58:15,Stifel,Buy,Buy,main
2021-07-27 19:43:39,B of A Securities,Buy,Buy,main
2021-07-16 09:01:35,Raymond James,Market Perform,Outperform,down
2021-05-28 12:53:10,Argus Research,Buy,,main
2021-05-12 14:07:10,Citigroup,Neutral,,main
2021-05-10 09:57:09,Truist Securities,Hold,Hold,main
2021-05-07 19:51:05,Barclays,Overweight,Overweight,main
2021-05-07 12:47:33,Raymond James,Outperform,,main
2021-03-08 13:46:11,Raymond James,Outperform,Market Perform,up
2021-03-08 12:34:50,B of A Securities,Buy,Neutral,up
2021-02-17 13:01:50,Credit Suisse,Outperform,,main
2020-11-13 13:30:59,Morgan Stanley,Equal-Weight,,main
2020-11-06 20:50:08,Barclays,Overweight,Overweight,main
