,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.255269,0.263945,0.297864,0.250819,0.251503
Normalized EBITDA,140488000.0,-39324000.0,81892000.0,246419000.0,152562000.0
Net Income From Continuing Operation Net Minority Interest,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Reconciled Depreciation,50205000.0,38762000.0,35352000.0,34795000.0,34512000.0
Reconciled Cost Of Revenue,676513000.0,363066000.0,543111000.0,832282000.0,630686000.0
EBITDA,140488000.0,-39324000.0,81892000.0,246419000.0,152562000.0
EBIT,90283000.0,-78086000.0,46540000.0,211624000.0,118050000.0
Net Interest Income,-22335000.0,-15263000.0,-13394000.0,-13936000.0,-13936000.0
Interest Expense,22335000.0,15263000.0,13394000.0,13936000.0,13936000.0
Normalized Income,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Net Income From Continuing And Discontinued Operation,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Total Expenses,745683000.0,436124000.0,613177000.0,896156000.0,690160000.0
Total Operating Income As Reported,88076000.0,-82653000.0,44039000.0,209137000.0,116746000.0
Diluted Average Shares,56912000.0,56626000.0,56900000.0,56900000.0,56800000.0
Basic Average Shares,56657000.0,56626000.0,56600000.0,56600000.0,56600000.0
Diluted EPS,0.89,-1.21,0.41,2.6,1.37
Basic EPS,0.89,-1.21,0.41,2.62,1.38
Diluted NI Availto Com Stockholders,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Net Income Common Stockholders,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Net Income,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Net Income Including Noncontrolling Interests,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Net Income Continuous Operations,50603000.0,-68710000.0,23273000.0,148104000.0,77929000.0
Tax Provision,17345000.0,-24639000.0,9873000.0,49584000.0,26185000.0
Pretax Income,67948000.0,-93349000.0,33146000.0,197688000.0,104114000.0
Other Income Expense,2207000.0,4567000.0,2501000.0,2487000.0,1304000.0
Other Non Operating Income Expenses,2207000.0,4567000.0,2501000.0,2487000.0,1304000.0
Net Non Operating Interest Income Expense,-22335000.0,-15263000.0,-13394000.0,-13936000.0,-13936000.0
Interest Expense Non Operating,22335000.0,15263000.0,13394000.0,13936000.0,13936000.0
Operating Income,88076000.0,-82653000.0,44039000.0,209137000.0,116746000.0
Operating Expense,69170000.0,73058000.0,70066000.0,63874000.0,59474000.0
Selling General And Administration,69170000.0,73058000.0,70066000.0,63874000.0,59474000.0
Gross Profit,157246000.0,-9595000.0,114105000.0,273011000.0,176220000.0
Cost Of Revenue,676513000.0,363066000.0,543111000.0,832282000.0,630686000.0
Total Revenue,833759000.0,353471000.0,657216000.0,1105293000.0,806906000.0
Operating Revenue,833759000.0,353471000.0,657216000.0,1105293000.0,806906000.0
