,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-369483.20148,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.244529,0.216926,0.226467,0.207554,0.219659,
Total Unusual Items,-1511000.0,,,,0.0,
Total Unusual Items Excluding Goodwill,-1511000.0,,,,0.0,
Net Income From Continuing Operation Net Minority Interest,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Reconciled Depreciation,614000.0,378000.0,380000.0,373000.0,375000.0,
Net Interest Income,24246000.0,21579000.0,20839000.0,20403000.0,20731000.0,
Interest Expense,20822000.0,19428000.0,17897000.0,15769000.0,14473000.0,
Interest Income,45068000.0,41007000.0,38736000.0,36172000.0,35204000.0,
Normalized Income,8494516.79852,8198000.0,8119000.0,8896000.0,6629000.0,
Net Income From Continuing And Discontinued Operation,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Diluted Average Shares,9725884.0,9070568.0,9043122.0,9021358.0,9040687.0,
Basic Average Shares,9608868.0,8957608.0,8913477.0,8864734.0,8846018.0,
Diluted EPS,0.76,0.9,0.9,0.99,0.73,
Basic EPS,0.76,0.91,0.91,1.0,0.75,
Diluted NI Availto Com Stockholders,7346000.0,8198000.0,8119000.0,8907000.0,6624000.0,
Average Dilution Earnings,-7000.0,,,,-5000.0,
Net Income Common Stockholders,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Net Income,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Net Income Including Noncontrolling Interests,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Net Income Continuous Operations,7353000.0,8198000.0,8119000.0,8896000.0,6629000.0,
Tax Provision,2380000.0,2271000.0,2377000.0,2330000.0,1866000.0,
Pretax Income,9733000.0,10469000.0,10496000.0,11226000.0,8495000.0,
Special Income Charges,-1511000.0,,,,0.0,
Restructuring And Mergern Acquisition,1511000.0,,,,0.0,
Gain On Sale Of Security,75000.0,20000.0,-12000.0,98000.0,-12000.0,
Selling General And Administration,6876000.0,6112000.0,6231000.0,5739000.0,5752000.0,
General And Administrative Expense,6876000.0,6112000.0,6231000.0,5739000.0,5752000.0,
Salaries And Wages,6876000.0,6112000.0,6231000.0,5739000.0,5752000.0,
Total Revenue,26003000.0,22947000.0,22107000.0,23522000.0,17837000.0,
Operating Revenue,26003000.0,22947000.0,22107000.0,23522000.0,17837000.0,
Occupancy And Equipment,814000.0,667000.0,689000.0,681000.0,718000.0,
Professional Expense And Contract Services Expense,0.0,0.0,,,-1243000.0,1243000.0
Other Non Interest Expense,4486000.0,4632000.0,3455000.0,3297000.0,3342000.0,
