,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.0,0.0,0.0
Normalized EBITDA,-18651000.0,-15526000.0,-11843000.0,-17268000.0,-12307000.0
Net Income From Continuing Operation Net Minority Interest,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Reconciled Depreciation,340000.0,360000.0,508000.0,424000.0,336000.0
EBITDA,-18651000.0,-15526000.0,-11843000.0,-17268000.0,-12307000.0
EBIT,-18991000.0,-15886000.0,-12351000.0,-17692000.0,-12643000.0
Net Interest Income,3372000.0,2424000.0,1713000.0,1927000.0,290000.0
Interest Expense,17000.0,20000.0,22000.0,25000.0,28000.0
Interest Income,3389000.0,2444000.0,1735000.0,1952000.0,318000.0
Normalized Income,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Net Income From Continuing And Discontinued Operation,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Total Expenses,22332000.0,18298000.0,13991000.0,19637000.0,11421000.0
Total Operating Income As Reported,-22332000.0,-18298000.0,-13991000.0,-19637000.0,-11421000.0
Diluted Average Shares,18680042.0,17157661.0,14792618.0,14729018.0,2919872.0
Basic Average Shares,18680042.0,17157661.0,14792618.0,14729018.0,2919872.0
Diluted EPS,-1.07,-0.93,-0.84,-1.2,-4.34
Basic EPS,-1.07,-0.93,-0.84,-1.2,-4.34
Diluted NI Availto Com Stockholders,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Net Income Common Stockholders,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Net Income,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Net Income Including Noncontrolling Interests,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Net Income Continuous Operations,-19984000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Tax Provision,976000.0,,,,0.0
Pretax Income,-19008000.0,-15906000.0,-12373000.0,-17717000.0,-12671000.0
Other Income Expense,-48000.0,-32000.0,-95000.0,-7000.0,-1540000.0
Other Non Operating Income Expenses,-48000.0,-32000.0,3515000.0,-7000.0,-1540000.0
Net Non Operating Interest Income Expense,3372000.0,2424000.0,1713000.0,1927000.0,290000.0
Interest Expense Non Operating,17000.0,20000.0,22000.0,25000.0,28000.0
Interest Income Non Operating,3389000.0,2444000.0,1735000.0,1952000.0,318000.0
Operating Income,-22332000.0,-18298000.0,-13991000.0,-19637000.0,-11421000.0
Operating Expense,22332000.0,18298000.0,13991000.0,19637000.0,11421000.0
Research And Development,17185000.0,13036000.0,9156000.0,14317000.0,7074000.0
Selling General And Administration,5147000.0,5262000.0,4835000.0,5320000.0,4347000.0
General And Administrative Expense,5147000.0,5262000.0,4835000.0,5320000.0,4347000.0
Other Gand A,2199000.0,2743000.0,2893000.0,2189000.0,2804000.0
Salaries And Wages,2948000.0,2519000.0,1942000.0,3131000.0,1543000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
