,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21
Net Income From Continuing Operation Net Minority Interest,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Interest Income,141012000.0,136871000.0,134622000.0,151978000.0,104755000.0
Interest Expense,68285000.0,67432000.0,76998000.0,64227000.0,60116000.0
Interest Income,209297000.0,204303000.0,211620000.0,216205000.0,164871000.0
Normalized Income,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Income From Continuing And Discontinued Operation,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Diluted Average Shares,266844118.0,266484213.0,264343512.0,264439678.0,199969889.0
Basic Average Shares,266844118.0,266484213.0,264343512.0,264439678.0,199969889.0
Diluted EPS,0.34,0.3,0.42,0.36,0.05
Basic EPS,0.34,0.3,0.42,0.36,0.05
Diluted NI Availto Com Stockholders,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Income Common Stockholders,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Income,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Income Including Noncontrolling Interests,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Net Income Continuous Operations,90058000.0,78984000.0,111314000.0,95199000.0,9252000.0
Tax Provision,-211000.0,-146000.0,-527000.0,-103000.0,-65000.0
Pretax Income,89847000.0,78838000.0,110787000.0,95096000.0,9187000.0
Gain On Sale Of Security,376000.0,-10867000.0,-24150000.0,-29050000.0,-31513000.0
Operating Expense,8172000.0,7837000.0,7996000.0,-853000.0,-10454000.0
Other Operating Expenses,2413000.0,2479000.0,2693000.0,-5399000.0,-14400000.0
Selling General And Administration,5759000.0,5358000.0,5303000.0,4546000.0,3946000.0
General And Administrative Expense,5759000.0,5358000.0,5303000.0,4546000.0,3946000.0
Total Revenue,98019000.0,86675000.0,118783000.0,94243000.0,-1267000.0
Operating Revenue,98019000.0,86675000.0,118783000.0,94243000.0,-1267000.0
