,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.0,0.0,
Normalized EBITDA,-16838000.0,-16895000.0,-15200000.0,-12935000.0,-14334000.0,
Net Income From Continuing Operation Net Minority Interest,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Reconciled Depreciation,19000.0,36000.0,25000.0,10000.0,18000.0,
EBITDA,-16838000.0,-16895000.0,-15200000.0,-12935000.0,-14334000.0,
EBIT,-16857000.0,-16931000.0,-15225000.0,-12945000.0,-14352000.0,
Net Interest Income,2246000.0,2323000.0,2566000.0,2736000.0,2463000.0,
Interest Income,2246000.0,2323000.0,2566000.0,2736000.0,2463000.0,
Normalized Income,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Net Income From Continuing And Discontinued Operation,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Total Expenses,21857000.0,16931000.0,15225000.0,12945000.0,14352000.0,
Total Operating Income As Reported,-16857000.0,-16931000.0,-15225000.0,-12945000.0,-14352000.0,
Diluted Average Shares,28079071.0,27526099.0,27492616.0,27172330.0,25608594.0,
Basic Average Shares,28079071.0,27526099.0,27492616.0,27172330.0,25608594.0,
Diluted EPS,-0.53,-0.53,-0.46,-0.38,-0.4,
Basic EPS,-0.53,-0.53,-0.46,-0.38,-0.4,
Diluted NI Availto Com Stockholders,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Net Income Common Stockholders,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Net Income,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Net Income Including Noncontrolling Interests,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Net Income Continuous Operations,-14912000.0,-14619000.0,-12652000.0,-10215000.0,-10254000.0,
Tax Provision,500000.0,,,,0.0,-179000.0
Pretax Income,-14412000.0,-14619000.0,-12651000.0,-10215000.0,-10254000.0,
Other Income Expense,199000.0,-11000.0,8000.0,-6000.0,1635000.0,
Other Non Operating Income Expenses,199000.0,-11000.0,8000.0,-6000.0,1635000.0,
Net Non Operating Interest Income Expense,2246000.0,2323000.0,2566000.0,2736000.0,2463000.0,
Interest Income Non Operating,2246000.0,2323000.0,2566000.0,2736000.0,2463000.0,
Operating Income,-16857000.0,-16931000.0,-15225000.0,-12945000.0,-14352000.0,
Operating Expense,21857000.0,16931000.0,15225000.0,12945000.0,14352000.0,
Research And Development,9061000.0,5818000.0,5868000.0,6451000.0,6945000.0,
Selling General And Administration,12796000.0,11113000.0,9357000.0,6494000.0,7407000.0,
Total Revenue,5000000.0,0.0,0.0,0.0,0.0,
Operating Revenue,5000000.0,0.0,0.0,0.0,0.0,
