,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,5893922.421329,-1844843.0,-3224760.0,-901941.530284,1588650.0,,
Tax Rate For Calcs,0.200979,0.143,0.21,0.121555,0.21,,
Normalized EBITDA,101810000.0,110677000.0,94905000.0,47954000.0,32010000.0,,
Total Unusual Items,29326000.0,-12901000.0,-15356000.0,-7420000.0,7565000.0,,
Total Unusual Items Excluding Goodwill,29326000.0,-12901000.0,-15356000.0,-7420000.0,7565000.0,,
Net Income From Continuing Operation Net Minority Interest,90075000.0,58781000.0,5555000.0,10557000.0,9693000.0,,
Reconciled Depreciation,26237000.0,30613000.0,38340000.0,30443000.0,23011000.0,,
Reconciled Cost Of Revenue,189185000.0,167254000.0,191608000.0,168724000.0,119593000.0,,
EBITDA,131136000.0,97776000.0,79549000.0,40534000.0,39575000.0,,
EBIT,104899000.0,67163000.0,41209000.0,10091000.0,16564000.0,,
Net Interest Income,-1204000.0,-372000.0,-273000.0,939000.0,1400000.0,,
Interest Expense,4227000.0,3369000.0,3326000.0,2942000.0,2105000.0,,
Interest Income,3023000.0,2997000.0,3053000.0,3881000.0,3505000.0,,
Normalized Income,66642922.421329,69837157.0,17686240.0,17075058.469716,3716650.0,,
Net Income From Continuing And Discontinued Operation,90075000.0,58781000.0,5555000.0,10557000.0,9693000.0,,
Total Expenses,331299000.0,239382000.0,274386000.0,245884000.0,177357000.0,,
Total Operating Income As Reported,108885000.0,66892000.0,34382000.0,9037000.0,10720000.0,,
Diluted Average Shares,216989000.0,216546000.0,,202447000.0,202407000.0,202355000.0,
Basic Average Shares,202774000.0,202420000.0,,202140000.0,202133000.0,202355000.0,
Diluted EPS,0.42,0.28,,0.05,0.05,-1.42,
Basic EPS,0.44,0.29,,0.05,0.05,-1.42,
Diluted NI Availto Com Stockholders,91322000.0,60013000.0,5555000.0,10557000.0,9693000.0,,
Average Dilution Earnings,1247000.0,1232000.0,0.0,0.0,0.0,,
Net Income Common Stockholders,90075000.0,58781000.0,5555000.0,10557000.0,9693000.0,,
Net Income,90075000.0,58781000.0,5555000.0,10557000.0,9693000.0,,
Minority Interests,9713000.0,4335000.0,8690000.0,4306000.0,7229000.0,,
Net Income Including Noncontrolling Interests,80362000.0,54446000.0,-3135000.0,6251000.0,2464000.0,,
Net Income Continuous Operations,80362000.0,54446000.0,-3135000.0,6251000.0,2464000.0,,
Earnings From Equity Interest Net Of Tax,-77000.0,-210000.0,-75000.0,-29000.0,-268000.0,,
Tax Provision,20233000.0,9138000.0,40943000.0,869000.0,11727000.0,,
Pretax Income,100672000.0,63794000.0,37883000.0,7149000.0,14459000.0,,
Other Income Expense,27720000.0,-13070000.0,-10645000.0,-5262000.0,5575000.0,,
Other Non Operating Income Expenses,-1606000.0,-169000.0,4711000.0,2158000.0,-1990000.0,,
Special Income Charges,34729000.0,-10344000.0,-14419000.0,-2435000.0,3236000.0,,
Gain On Sale Of Ppe,-411000.0,-344000.0,-1888000.0,-466000.0,5599000.0,,
Other Special Charges,-42111000.0,1564000.0,-102068000.0,1969000.0,2363000.0,,
Write Off,0.0,,,,0.0,76023000.0,
Impairment Of Capital Assets,,0.0,,,,114230000.0,
Restructuring And Mergern Acquisition,6971000.0,8436000.0,,,0.0,0.0,0.0
Gain On Sale Of Security,-5403000.0,-2557000.0,-937000.0,-4985000.0,4329000.0,,
Net Non Operating Interest Income Expense,-1204000.0,-372000.0,-273000.0,939000.0,1400000.0,,
Interest Expense Non Operating,4227000.0,3369000.0,3326000.0,2942000.0,2105000.0,,
Interest Income Non Operating,3023000.0,2997000.0,3053000.0,3881000.0,3505000.0,,
Operating Income,74156000.0,77236000.0,48801000.0,11472000.0,7484000.0,,
Operating Expense,142114000.0,72128000.0,82778000.0,77160000.0,57764000.0,,
Other Operating Expenses,77283000.0,11189000.0,26424000.0,13905000.0,13756000.0,,
Other Taxes,470000.0,1250000.0,2857000.0,4865000.0,0.0,,
Selling General And Administration,26634000.0,23894000.0,17556000.0,19016000.0,13452000.0,,
General And Administrative Expense,26634000.0,23894000.0,17556000.0,19016000.0,13452000.0,,
Other Gand A,26634000.0,23894000.0,17556000.0,19016000.0,13452000.0,,
Gross Profit,216270000.0,149364000.0,131579000.0,88632000.0,65248000.0,,
Cost Of Revenue,189185000.0,167254000.0,191608000.0,168724000.0,119593000.0,,
Total Revenue,405455000.0,316618000.0,323187000.0,257356000.0,184841000.0,,
Operating Revenue,402893000.0,314772000.0,330065000.0,254141000.0,179053000.0,,
