,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,29309.49,29027.108815,13314.085705,13110.09,25269.93
Tax Rate For Calcs,0.21,0.207843,0.203813,0.21,0.21
Normalized EBITDA,910749.0,682934.0,681991.0,480097.0,735946.0
Total Unusual Items,139569.0,139659.0,65325.0,62429.0,120333.0
Total Unusual Items Excluding Goodwill,139569.0,139659.0,65325.0,62429.0,120333.0
Net Income From Continuing Operation Net Minority Interest,925442.0,737439.0,626756.0,461094.0,756081.0
Reconciled Depreciation,23711.0,31327.0,25444.0,24456.0,24455.0
Reconciled Cost Of Revenue,1556490.0,1207523.0,1749041.0,1429407.0,1093595.0
EBITDA,1050318.0,822593.0,747316.0,542526.0,856279.0
EBIT,1026607.0,791266.0,721872.0,518070.0,831824.0
Normalized Income,815182.49,626807.108815,574745.085705,411775.09,661017.93
Net Income From Continuing And Discontinued Operation,925442.0,737439.0,626756.0,461094.0,756081.0
Total Expenses,2228337.0,1815747.0,2335646.0,2132229.0,1738500.0
Total Operating Income As Reported,1026607.0,791266.0,721872.0,518070.0,831824.0
Diluted Average Shares,4594319.0,,4594319.0,4594319.0,4594319.0
Basic Average Shares,4594319.0,,4594319.0,4594319.0,4594319.0
Diluted EPS,0.2,,0.14,0.1,0.16
Basic EPS,0.2,,0.14,0.1,0.16
Diluted NI Availto Com Stockholders,925442.0,737439.0,626756.0,461094.0,756081.0
Net Income Common Stockholders,925442.0,737439.0,626756.0,461094.0,756081.0
Net Income,925442.0,737439.0,626756.0,461094.0,756081.0
Net Income Including Noncontrolling Interests,925442.0,737439.0,626756.0,461094.0,756081.0
Net Income Continuous Operations,925442.0,737439.0,626756.0,461094.0,756081.0
Tax Provision,240734.0,193486.0,160441.0,119405.0,196076.0
Pretax Income,1166176.0,930925.0,787197.0,580499.0,952157.0
Other Income Expense,139569.0,139659.0,65325.0,62429.0,120333.0
Gain On Sale Of Security,139569.0,139659.0,65325.0,62429.0,120333.0
Operating Income,1026607.0,791266.0,721872.0,518070.0,831824.0
Operating Expense,671847.0,608224.0,586605.0,702822.0,644905.0
Other Operating Expenses,568865.0,498061.0,488464.0,574093.0,517946.0
Research And Development,102982.0,110163.0,98141.0,128729.0,126959.0
Gross Profit,1698454.0,1399490.0,1308477.0,1220892.0,1476729.0
Cost Of Revenue,1556490.0,1207523.0,1749041.0,1429407.0,1093595.0
Total Revenue,3254944.0,2607013.0,3057518.0,2650299.0,2570324.0
Operating Revenue,3254944.0,2607013.0,3057518.0,2650299.0,2570324.0
