,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.386275
Normalized EBITDA,16326000.0,17307000.0,20868000.0
Net Income From Continuing Operation Net Minority Interest,5164000.0,5750000.0,8165000.0
Reconciled Depreciation,5580000.0,5560000.0,5630000.0
Reconciled Cost Of Revenue,16858000.0,17300000.0,19866000.0
EBITDA,16326000.0,17307000.0,20868000.0
EBIT,10746000.0,11747000.0,15238000.0
Net Interest Income,-1253000.0,-1304000.0,-1663000.0
Interest Expense,1448000.0,1516000.0,1934000.0
Interest Income,195000.0,212000.0,
Normalized Income,5164000.0,5750000.0,8165000.0
Net Income From Continuing And Discontinued Operation,5164000.0,5750000.0,8165000.0
Total Expenses,54342000.0,54532000.0,51233000.0
Total Operating Income As Reported,10304000.0,11773000.0,9466000.0
Diluted Average Shares,13154599.0,13153271.0,13124218.0
Basic Average Shares,13090852.0,13059153.0,13015976.0
Diluted EPS,0.39,0.44,0.62
Basic EPS,0.39,0.44,0.63
Diluted NI Availto Com Stockholders,5164000.0,5750000.0,8165000.0
Net Income Common Stockholders,5164000.0,5750000.0,8165000.0
Net Income,5164000.0,5750000.0,8165000.0
Net Income Including Noncontrolling Interests,5164000.0,5750000.0,8165000.0
Net Income Continuous Operations,5164000.0,5750000.0,8165000.0
Tax Provision,4134000.0,4481000.0,5139000.0
Pretax Income,9298000.0,10231000.0,13304000.0
Other Income Expense,247000.0,-238000.0,5501000.0
Other Non Operating Income Expenses,247000.0,-238000.0,5501000.0
Net Non Operating Interest Income Expense,-1253000.0,-1304000.0,-1663000.0
Interest Expense Non Operating,1448000.0,1516000.0,1934000.0
Interest Income Non Operating,195000.0,212000.0,
Operating Income,10304000.0,11773000.0,9466000.0
Operating Expense,37484000.0,37232000.0,31367000.0
Research And Development,9833000.0,9272000.0,7217000.0
Selling General And Administration,27651000.0,27960000.0,24150000.0
Gross Profit,47788000.0,49005000.0,40833000.0
Cost Of Revenue,16858000.0,17300000.0,19866000.0
Total Revenue,64646000.0,66305000.0,60699000.0
Operating Revenue,64646000.0,66305000.0,60699000.0
