GradeDate,Firm,ToGrade,FromGrade,Action
2020-01-17 12:14:07,Wedbush,Neutral,Outperform,down
2019-11-05 13:01:36,Citigroup,Buy,,main
2019-10-28 12:09:38,UBS,Buy,,main
2019-10-24 12:25:58,BMO Capital,Outperform,,main
2019-10-23 12:52:51,Raymond James,Strong Buy,,main
2019-10-23 12:30:31,Wedbush,Outperform,,main
2019-07-31 10:33:01,UBS,Buy,Neutral,up
2019-07-24 11:44:33,Raymond James,Strong Buy,,main
2019-05-21 10:34:09,BMO Capital,Outperform,Market Perform,up
2019-05-08 11:28:46,Citigroup,Buy,,main
2019-05-02 11:12:58,Wedbush,Outperform,Neutral,up
2019-04-24 14:40:31,Wells Fargo,Outperform,Outperform,main
2019-04-24 10:27:02,Goldman Sachs,Buy,,init
2019-04-08 10:11:19,Keybanc,Overweight,Sector Weight,up
2018-12-10 11:27:18,B. Riley Securities,Neutral,Buy,down
2018-10-30 13:48:29,Citigroup,Buy,Buy,main
2018-10-26 10:43:31,Raymond James,Strong Buy,Outperform,up
2018-10-24 13:11:07,BMO Capital,Market Perform,Market Perform,main
2018-10-23 13:12:28,B. Riley Securities,Buy,Neutral,up
2018-10-10 12:10:17,Baird,Neutral,Neutral,main
2018-08-13 12:57:21,Citigroup,Buy,Buy,main
2018-07-26 11:48:21,Stifel,Hold,Hold,main
2018-07-17 10:19:16,Stifel,Hold,Hold,main
2018-06-01 12:32:55,BMO Capital,Market Perform,Market Perform,main
2018-05-31 12:00:20,Wedbush,Neutral,Neutral,main
2018-05-31 11:15:01,Stifel,Hold,Hold,main
2018-04-09 11:21:40,BMO Capital,Market Perform,Market Perform,main
2018-02-06 13:49:34,Citigroup,Buy,Buy,main
2018-01-22 11:55:57,RBC Capital,Sector Perform,Underperform,up
2018-01-17 12:09:49,Longbow Research,Neutral,Underperform,up
2017-10-25 18:34:06,B. Riley Securities,Neutral,,main
2017-10-25 13:03:50,Wells Fargo,Market Perform,,main
