GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-07 15:48:15,RBC Capital,Sector Perform,Sector Perform,main
2024-04-30 17:10:16,RBC Capital,Sector Perform,Sector Perform,main
2023-10-31 10:29:55,RBC Capital,Sector Perform,Outperform,down
2023-09-08 12:58:39,RBC Capital,Outperform,Outperform,reit
2023-05-03 13:31:50,RBC Capital,Outperform,,reit
2023-04-24 09:03:42,RBC Capital,Outperform,Sector Perform,up
2022-11-01 13:21:04,BMO Capital,Outperform,,main
2022-11-01 09:42:06,RBC Capital,Sector Perform,Outperform,down
2022-08-04 17:18:13,BMO Capital,Outperform,,main
2022-08-03 10:09:59,RBC Capital,Outperform,Sector Perform,up
2022-02-16 09:47:01,RBC Capital,Sector Perform,Outperform,down
2021-12-20 15:46:15,BMO Capital,Market Perform,Outperform,down
2021-10-20 09:15:03,RBC Capital,Outperform,Sector Perform,up
2021-02-26 15:44:42,RBC Capital,Sector Perform,Outperform,down
2021-01-21 11:36:03,BMO Capital,Outperform,,init
2020-05-06 16:37:39,CFRA,Strong Buy,,main
2020-01-14 11:17:56,RBC Capital,Sector Perform,Underperform,up
2019-08-01 11:01:46,RBC Capital,Underperform,Sector Perform,down
2018-08-24 10:53:49,RBC Capital,Sector Perform,Outperform,down
2018-05-03 11:21:31,RBC Capital,Outperform,Sector Perform,up
2017-02-27 10:56:26,RBC Capital,Sector Perform,Underperform,up
2017-01-06 10:52:54,RBC Capital,Underperform,Sector Perform,down
2016-11-30 12:21:17,Keybanc,Sector Weight,,init
2016-11-14 11:31:56,DA Davidson,Buy,Neutral,up
2016-07-22 12:47:55,Vertical Research,Hold,Buy,down
2016-06-22 14:01:50,Sidoti & Co.,Buy,,init
2016-05-12 17:07:03,DA Davidson,Neutral,Buy,down
2016-01-12 14:43:54,RBC Capital,Sector Perform,Outperform,down
2015-10-30 13:45:19,Macquarie,Outperform,,main
2015-02-06 11:42:53,RBC Capital,Sector Perform,Outperform,down
2015-02-05 11:23:09,RBC Capital,Sector Perform,Outperform,down
2014-09-15 12:14:56,DA Davidson,Neutral,Buy,down
2014-02-06 11:24:08,DA Davidson,Buy,,main
2014-01-27 13:00:00,RBC Capital,Outperform,,init
2013-10-24 11:23:28,DA Davidson,Buy,,main
2013-09-13 13:08:53,DA Davidson,Buy,,main
2013-04-25 16:06:56,TD Securities,Hold,Buy,down
2013-02-21 11:42:08,DA Davidson,Buy,,main
