,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.225577,0.262,0.199,0.207895,0.236025,,
Net Income From Continuing Operation Net Minority Interest,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Reconciled Depreciation,49000000.0,47000000.0,47000000.0,47000000.0,45000000.0,,
Net Interest Income,546000000.0,521000000.0,529000000.0,532000000.0,523000000.0,,
Interest Expense,444000000.0,442000000.0,498000000.0,541000000.0,534000000.0,,
Interest Income,990000000.0,963000000.0,1027000000.0,1073000000.0,1057000000.0,,
Normalized Income,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Net Income From Continuing And Discontinued Operation,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Diluted Average Shares,205500000.0,208700000.0,209200000.0,210100000.0,212300000.0,,
Basic Average Shares,201200000.0,204300000.0,203700000.0,204700000.0,206800000.0,,
Diluted EPS,2.12,2.36,2.86,2.86,2.31,,
Basic EPS,2.16,2.41,2.94,2.93,2.37,,
Diluted NI Availto Com Stockholders,435000000.0,492000000.0,598000000.0,600000000.0,490000000.0,,
Average Dilution Earnings,,,-1000000.0,,,,-1000000.0
Net Income Common Stockholders,435000000.0,492000000.0,599000000.0,600000000.0,490000000.0,,
Otherunder Preferred Stock Dividend,,1000000.0,,1000000.0,1000000.0,1000000.0,
Preferred Stock Dividends,1000000.0,2000000.0,1000000.0,1000000.0,1000000.0,,
Net Income,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Net Income Including Noncontrolling Interests,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Net Income Continuous Operations,436000000.0,495000000.0,600000000.0,602000000.0,492000000.0,,
Tax Provision,127000000.0,176000000.0,149000000.0,158000000.0,152000000.0,,
Pretax Income,563000000.0,671000000.0,749000000.0,760000000.0,644000000.0,,
Selling General And Administration,2202000000.0,2204000000.0,2272000000.0,2159000000.0,2090000000.0,,
General And Administrative Expense,2202000000.0,2204000000.0,2272000000.0,2159000000.0,2090000000.0,,
Salaries And Wages,2202000000.0,2204000000.0,2272000000.0,2159000000.0,2090000000.0,,
Total Revenue,3342000000.0,3349000000.0,3484000000.0,3412000000.0,3180000000.0,,
Operating Revenue,3342000000.0,3349000000.0,3484000000.0,3412000000.0,3180000000.0,,
Occupancy And Equipment,77000000.0,74000000.0,73000000.0,76000000.0,75000000.0,,
Professional Expense And Contract Services Expense,42000000.0,34000000.0,34000000.0,47000000.0,38000000.0,,
Other Non Interest Expense,443000000.0,350000000.0,356000000.0,348000000.0,343000000.0,,
