,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.0,
Net Income From Continuing Operation Net Minority Interest,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Interest Income,13149000.0,12481000.0,14143000.0,14597000.0,14145000.0,
Interest Expense,8499000.0,8982000.0,6385000.0,6399000.0,6480000.0,
Interest Income,21648000.0,21463000.0,20528000.0,20996000.0,20625000.0,
Normalized Income,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Income From Continuing And Discontinued Operation,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Diluted Average Shares,36908943.0,,36727873.0,36688667.0,36688667.0,34351597.0
Basic Average Shares,36908943.0,,36727873.0,36688667.0,36688667.0,34351597.0
Diluted EPS,0.21,,1.05,0.42,-0.18,0.19
Basic EPS,0.21,,1.05,0.42,-0.18,0.19
Diluted NI Availto Com Stockholders,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Income Common Stockholders,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Income,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Income Including Noncontrolling Interests,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Net Income Continuous Operations,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Pretax Income,7772000.0,17873000.0,38490000.0,15482000.0,-6526000.0,
Gain On Sale Of Security,0.0,20879000.0,0.0,42303000.0,2000.0,
Operating Expense,-1586000.0,-1114000.0,-2805000.0,2000.0,232000.0,
Other Operating Expenses,-3161000.0,-2876000.0,-4565000.0,-2234000.0,-2218000.0,
Selling General And Administration,1575000.0,1762000.0,1760000.0,2236000.0,2450000.0,
General And Administrative Expense,1575000.0,1762000.0,1760000.0,2236000.0,2450000.0,
Total Revenue,6186000.0,16759000.0,35685000.0,15484000.0,-6294000.0,
Operating Revenue,6186000.0,16759000.0,35685000.0,15484000.0,-6294000.0,
