,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,6275969.562031,-2102940.0,-619286.308068,-1353792.0,-623181.58388,,
Tax Rate For Calcs,0.170284,0.21,0.166341,0.192,0.20642,,
Normalized EBITDA,52757000.0,43618000.0,51364000.0,59943000.0,50459000.0,,
Total Unusual Items,36856000.0,-10014000.0,-3723000.0,-7051000.0,-3019000.0,,
Total Unusual Items Excluding Goodwill,36856000.0,-10014000.0,-3723000.0,-7051000.0,-3019000.0,,
Net Income From Continuing Operation Net Minority Interest,46098000.0,-4437000.0,8241000.0,13745000.0,8000000.0,,
Reconciled Depreciation,35884000.0,35904000.0,34877000.0,33634000.0,33784000.0,,
Reconciled Cost Of Revenue,220843000.0,197339000.0,198539000.0,202270000.0,182455000.0,,
EBITDA,89613000.0,33604000.0,47641000.0,52892000.0,47440000.0,,
EBIT,53729000.0,-2300000.0,12764000.0,19258000.0,13656000.0,,
Net Interest Income,6518000.0,5346000.0,4426000.0,4076000.0,3385000.0,,
Interest Expense,506000.0,467000.0,494000.0,456000.0,852000.0,,
Interest Income,7024000.0,5813000.0,4920000.0,4532000.0,4237000.0,,
Normalized Income,15517969.562031,3474060.0,11344713.691932,19442208.0,10395818.41612,,
Net Income From Continuing And Discontinued Operation,46098000.0,-4437000.0,8241000.0,13745000.0,8000000.0,,
Total Expenses,356736000.0,330835000.0,328945000.0,328984000.0,307895000.0,,
Total Operating Income As Reported,9389000.0,1296000.0,11917000.0,21877000.0,3708000.0,,
Diluted Average Shares,46462000.0,46370000.0,46397000.0,46442000.0,46324000.0,,
Basic Average Shares,46398000.0,46370000.0,46333000.0,46331000.0,46133000.0,,
Diluted EPS,0.99,-0.1,0.18,0.3,0.17,,
Basic EPS,0.99,-0.1,0.18,0.3,0.17,,
Diluted NI Availto Com Stockholders,46098000.0,-4437000.0,8241000.0,13745000.0,8000000.0,,
Net Income Common Stockholders,46098000.0,-4437000.0,8241000.0,13745000.0,8000000.0,,
Net Income,46098000.0,-4437000.0,8241000.0,13745000.0,8000000.0,,
Minority Interests,1938000.0,-1650000.0,-1988000.0,-1438000.0,-2161000.0,,
Net Income Including Noncontrolling Interests,44160000.0,-2787000.0,10229000.0,15183000.0,10161000.0,,
Net Income Continuous Operations,44160000.0,-2787000.0,10229000.0,15183000.0,10161000.0,,
Tax Provision,9063000.0,20000.0,2041000.0,3619000.0,2643000.0,,
Pretax Income,53223000.0,-2767000.0,12270000.0,18802000.0,12804000.0,,
Other Income Expense,37229000.0,-9391000.0,-2509000.0,-6369000.0,-2457000.0,,
Other Non Operating Income Expenses,373000.0,623000.0,1214000.0,682000.0,562000.0,,
Special Income Charges,13643000.0,-5799000.0,1564000.0,782000.0,-8168000.0,,
Gain On Sale Of Ppe,-19000.0,18000.0,2116000.0,571000.0,82000.0,,
Gain On Sale Of Business,13730000.0,,,,0.0,,
Write Off,0.0,5817000.0,,,0.0,0.0,
Restructuring And Mergern Acquisition,68000.0,,552000.0,-211000.0,8250000.0,,-983000.0
Gain On Sale Of Security,23213000.0,-4215000.0,-5287000.0,-7833000.0,5149000.0,,
Net Non Operating Interest Income Expense,6518000.0,5346000.0,4426000.0,4076000.0,3385000.0,,
Interest Expense Non Operating,506000.0,467000.0,494000.0,456000.0,852000.0,,
Interest Income Non Operating,7024000.0,5813000.0,4920000.0,4532000.0,4237000.0,,
Operating Income,9476000.0,1278000.0,10353000.0,21095000.0,11876000.0,,
Operating Expense,105848000.0,103416000.0,100531000.0,96913000.0,95510000.0,,
Other Operating Expenses,2000.0,266000.0,,1000.0,,-1000.0,1554000.0
Depreciation Amortization Depletion Income Statement,5839000.0,5824000.0,5002000.0,3833000.0,3854000.0,,
Depreciation And Amortization In Income Statement,5839000.0,5824000.0,5002000.0,3833000.0,3854000.0,,
Amortization,5839000.0,5824000.0,5002000.0,3833000.0,3854000.0,,
Amortization Of Intangibles Income Statement,5839000.0,5824000.0,5002000.0,3833000.0,3854000.0,,
Research And Development,40537000.0,38627000.0,33207000.0,33691000.0,33189000.0,,
Selling General And Administration,59470000.0,58699000.0,62323000.0,59388000.0,58467000.0,,
Gross Profit,115324000.0,104694000.0,110884000.0,118008000.0,107386000.0,,
Cost Of Revenue,250888000.0,227419000.0,228414000.0,232071000.0,212385000.0,,
Total Revenue,366212000.0,332113000.0,339298000.0,350079000.0,319771000.0,,
Operating Revenue,366212000.0,332113000.0,339298000.0,350079000.0,319771000.0,,
