quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.0266,0.18,-0.15,-0.85220003
2025-03-31,-0.6528,-0.43,-0.22,-0.5181
2024-12-31,-0.8211,-0.145,-0.68,-4.6628
2024-09-30,-0.3442,-0.12,-0.22,-1.8683
