,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.21,0.0,
Normalized EBITDA,-4664000.0,-13965000.0,-9680000.0,21547000.0,-20888000.0,
Net Income From Continuing Operation Net Minority Interest,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Reconciled Depreciation,-259000.0,148000.0,151000.0,434000.0,-157000.0,
EBITDA,-4664000.0,-13965000.0,-9680000.0,21547000.0,-20888000.0,
EBIT,-4664000.0,-14113000.0,-9831000.0,21113000.0,-20888000.0,
Net Interest Income,,204000.0,295000.0,,,451000.0
Interest Expense,,26000.0,,,,0.0
Interest Income,,230000.0,295000.0,,,451000.0
Normalized Income,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Net Income From Continuing And Discontinued Operation,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Total Expenses,4664000.0,14343000.0,9831000.0,-21113000.0,20888000.0,
Total Operating Income As Reported,-4664000.0,-14343000.0,-9831000.0,21113000.0,-20888000.0,
Diluted Average Shares,13339417.0,13339417.0,13339417.0,,13339417.0,13339417.0
Basic Average Shares,13339417.0,13339417.0,13339417.0,,13339417.0,13339417.0
Diluted EPS,-0.276774,-1.059941,-0.714874,,-1.439043,-0.613445
Basic EPS,-0.276774,-1.059941,-0.714874,,-1.439043,-0.613445
Diluted NI Availto Com Stockholders,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Net Income Common Stockholders,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Net Income,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Net Income Including Noncontrolling Interests,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Net Income Continuous Operations,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Pretax Income,-3692000.0,-14139000.0,-9536000.0,18523000.0,-19196000.0,
Other Income Expense,972000.0,,,,1692000.0,
Other Non Operating Income Expenses,972000.0,,,,1692000.0,
Net Non Operating Interest Income Expense,,204000.0,295000.0,,,451000.0
Interest Expense Non Operating,,26000.0,,,,0.0
Interest Income Non Operating,,230000.0,295000.0,,,451000.0
Operating Income,-4664000.0,-14343000.0,-9831000.0,21113000.0,-20888000.0,
Operating Expense,4664000.0,14343000.0,9831000.0,-21113000.0,20888000.0,
Research And Development,904000.0,10752000.0,8566000.0,-6894000.0,13622000.0,
Selling General And Administration,3760000.0,3591000.0,1265000.0,-14219000.0,7266000.0,
General And Administrative Expense,3760000.0,3591000.0,1265000.0,-14219000.0,7266000.0,
Other Gand A,3760000.0,3591000.0,1265000.0,-14219000.0,7266000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
