,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.330737,0.216,0.21,0.226,0.231178
Normalized EBITDA,16735000.0,27631000.0,70050000.0,39799000.0,20017000.0
Net Income From Continuing Operation Net Minority Interest,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Reconciled Depreciation,4614000.0,4571000.0,4459000.0,4555000.0,4582000.0
Reconciled Cost Of Revenue,98605000.0,96005000.0,117764000.0,148865000.0,100261000.0
EBITDA,16735000.0,27631000.0,70050000.0,39799000.0,20017000.0
EBIT,12121000.0,23060000.0,65591000.0,35244000.0,15435000.0
Normalized Income,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Net Income From Continuing And Discontinued Operation,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Total Expenses,142967000.0,125395000.0,154656000.0,190690000.0,135301000.0
Rent Expense Supplemental,478000.0,505000.0,438000.0,599000.0,529000.0
Total Operating Income As Reported,12121000.0,23060000.0,38716000.0,35244000.0,15435000.0
Diluted Average Shares,72879000.0,72957000.0,73254630.0,73520370.0,73536000.0
Basic Average Shares,72879000.0,72957000.0,73254630.0,73520370.0,73536000.0
Diluted EPS,0.24,0.25,0.31068,0.446602,0.21
Basic EPS,0.24,0.25,0.31068,0.446602,0.21
Diluted NI Availto Com Stockholders,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Net Income Common Stockholders,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Net Income,17544000.0,18058000.0,22509000.0,32844000.0,15640000.0
Minority Interests,14000.0,17000.0,3000.0,11000.0,6000.0
Net Income Including Noncontrolling Interests,17530000.0,18041000.0,22506000.0,32833000.0,15634000.0
Net Income Continuous Operations,17530000.0,18041000.0,22506000.0,32833000.0,15634000.0
Tax Provision,8663000.0,4968000.0,21456000.0,9599000.0,4701000.0
Pretax Income,26193000.0,23009000.0,43962000.0,42432000.0,20335000.0
Other Income Expense,14072000.0,-51000.0,-3843000.0,7188000.0,4900000.0
Other Non Operating Income Expenses,14072000.0,-51000.0,-20678000.0,7188000.0,4900000.0
Operating Income,12121000.0,23060000.0,38716000.0,35244000.0,15435000.0
Operating Expense,44362000.0,29390000.0,36892000.0,41825000.0,35040000.0
Selling General And Administration,44362000.0,29390000.0,36892000.0,41825000.0,35040000.0
Gross Profit,56483000.0,52450000.0,75608000.0,77069000.0,50475000.0
Cost Of Revenue,98605000.0,96005000.0,117764000.0,148865000.0,100261000.0
Total Revenue,155088000.0,148455000.0,193372000.0,225934000.0,150736000.0
Operating Revenue,155088000.0,148455000.0,193372000.0,225934000.0,150736000.0
