,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,252100.840336,840000.0,-1171548.117155,-1818181.818182,-26880000.0,,
Tax Rate For Calcs,0.252101,0.21,0.23431,0.181818,0.21,,
Normalized EBITDA,146000000.0,345000000.0,463000000.0,431000000.0,213000000.0,,
Total Unusual Items,1000000.0,4000000.0,-5000000.0,-10000000.0,-128000000.0,,
Total Unusual Items Excluding Goodwill,1000000.0,4000000.0,-5000000.0,-10000000.0,-128000000.0,,
Net Income From Continuing Operation Net Minority Interest,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Reconciled Depreciation,251000000.0,235000000.0,217000000.0,210000000.0,241000000.0,,
Reconciled Cost Of Revenue,3318000000.0,3448000000.0,3629000000.0,3665000000.0,3851000000.0,,
EBITDA,147000000.0,349000000.0,458000000.0,421000000.0,85000000.0,,
EBIT,-104000000.0,114000000.0,241000000.0,211000000.0,-156000000.0,,
Net Interest Income,-7000000.0,19000000.0,18000000.0,19000000.0,25000000.0,,
Interest Expense,15000000.0,5000000.0,2000000.0,2000000.0,9000000.0,,
Interest Income,16000000.0,23000000.0,25000000.0,32000000.0,38000000.0,,
Normalized Income,-89747899.159664,115840000.0,186828451.882845,179181818.181818,21120000.0,,
Net Income From Continuing And Discontinued Operation,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Total Expenses,3691000000.0,3817000000.0,3970000000.0,4007000000.0,4274000000.0,,
Diluted Average Shares,225173000.0,254060000.0,254248000.0,254584000.0,223130000.0,,
Basic Average Shares,225173000.0,225095000.0,224893000.0,224099000.0,223130000.0,,
Diluted EPS,-0.39,0.48,0.72,0.68,-0.36,,
Basic EPS,-0.39,0.53,0.82,0.76,-0.36,,
Diluted NI Availto Com Stockholders,-81000000.0,122000000.0,184000000.0,174000000.0,-77000000.0,,
Average Dilution Earnings,8000000.0,3000000.0,1000000.0,3000000.0,3000000.0,,
Net Income Common Stockholders,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Net Income,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Minority Interests,0.0,0.0,0.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Net Income Continuous Operations,-89000000.0,119000000.0,183000000.0,171000000.0,-80000000.0,,
Tax Provision,-30000000.0,-10000000.0,56000000.0,38000000.0,-85000000.0,,
Pretax Income,-119000000.0,109000000.0,239000000.0,209000000.0,-165000000.0,,
Other Income Expense,70000000.0,54000000.0,73000000.0,37000000.0,-60000000.0,,
Other Non Operating Income Expenses,33000000.0,33000000.0,33000000.0,33000000.0,29000000.0,,
Special Income Charges,3000000.0,-5000000.0,-13000000.0,-14000000.0,-140000000.0,,
Other Special Charges,0.0,,1000000.0,1000000.0,,,
Write Off,,,12000000.0,,,,0.0
Impairment Of Capital Assets,0.0,0.0,,7000000.0,125000000.0,0.0,
Restructuring And Mergern Acquisition,-3000000.0,5000000.0,0.0,6000000.0,15000000.0,,
Earnings From Equity Interest,36000000.0,17000000.0,45000000.0,14000000.0,39000000.0,,
Gain On Sale Of Security,-2000000.0,9000000.0,8000000.0,4000000.0,12000000.0,,
Net Non Operating Interest Income Expense,-7000000.0,19000000.0,18000000.0,19000000.0,25000000.0,,
Total Other Finance Cost,8000000.0,-1000000.0,5000000.0,11000000.0,4000000.0,,
Interest Expense Non Operating,15000000.0,5000000.0,2000000.0,2000000.0,9000000.0,,
Interest Income Non Operating,16000000.0,23000000.0,25000000.0,32000000.0,38000000.0,,
Operating Income,-182000000.0,36000000.0,148000000.0,153000000.0,-130000000.0,,
Operating Expense,373000000.0,369000000.0,341000000.0,342000000.0,423000000.0,,
Other Operating Expenses,15000000.0,30000000.0,19000000.0,13000000.0,1000000.0,,
Depreciation Amortization Depletion Income Statement,251000000.0,235000000.0,217000000.0,210000000.0,241000000.0,,
Selling General And Administration,107000000.0,104000000.0,105000000.0,119000000.0,181000000.0,,
Gross Profit,191000000.0,405000000.0,489000000.0,495000000.0,293000000.0,,
Cost Of Revenue,3318000000.0,3448000000.0,3629000000.0,3665000000.0,3851000000.0,,
Total Revenue,3509000000.0,3853000000.0,4118000000.0,4160000000.0,4144000000.0,,
Operating Revenue,3509000000.0,3853000000.0,4118000000.0,4160000000.0,4144000000.0,,
