quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,-0.03,-0.38,0.35,0.9211
2025-03-31,-0.24724,-0.44,0.19,0.4381
2024-12-31,-0.3669,-0.31,-0.06,-0.1835
2024-09-30,-0.32,-0.36333,0.04,0.1193
