,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-1288931.723648,-1071600.0,8078053.931124,-614800.0,6813277.654679,,
Tax Rate For Calcs,0.234351,0.228,0.22011,0.212,0.241606,,
Normalized EBITDA,1266300000.0,922400000.0,839300000.0,1284700000.0,1409300000.0,,
Total Unusual Items,-5500000.0,-4700000.0,36700000.0,-2900000.0,28200000.0,,
Total Unusual Items Excluding Goodwill,-5500000.0,-4700000.0,36700000.0,-2900000.0,28200000.0,,
Net Income From Continuing Operation Net Minority Interest,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Reconciled Depreciation,162700000.0,160900000.0,161900000.0,155600000.0,153300000.0,,
Reconciled Cost Of Revenue,3196200000.0,2746600000.0,2724000000.0,3135000000.0,3208100000.0,,
EBITDA,1260800000.0,917700000.0,876000000.0,1281800000.0,1437500000.0,,
EBIT,1098100000.0,756800000.0,714100000.0,1126200000.0,1284200000.0,,
Net Interest Income,-114200000.0,-104400000.0,-101500000.0,-104400000.0,-114300000.0,,
Interest Expense,112400000.0,103800000.0,98500000.0,103400000.0,110800000.0,,
Interest Income,2400000.0,3300000.0,1400000.0,2600000.0,900000.0,,
Normalized Income,758911068.276352,507528400.0,451478053.931124,808485200.0,868513277.654679,,
Net Income From Continuing And Discontinued Operation,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Total Expenses,5215400000.0,4551400000.0,4623700000.0,5031400000.0,5040000000.0,,
Diluted Average Shares,251300000.0,252500000.0,253200000.0,253900000.0,254200000.0,,
Basic Average Shares,248400000.0,249400000.0,249800000.0,250600000.0,251000000.0,,
Diluted EPS,3.0,2.0,1.9,3.18,3.5,,
Basic EPS,3.04,2.02,1.92,3.22,3.55,,
Diluted NI Availto Com Stockholders,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Net Income Common Stockholders,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Net Income,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Net Income Including Noncontrolling Interests,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Net Income Continuous Operations,754700000.0,503900000.0,480100000.0,806200000.0,889900000.0,,
Tax Provision,231000000.0,149100000.0,135500000.0,216600000.0,283500000.0,,
Pretax Income,985700000.0,653000000.0,615600000.0,1022800000.0,1173400000.0,,
Other Income Expense,800000.0,3100000.0,43600000.0,-3900000.0,56200000.0,,
Other Non Operating Income Expenses,6300000.0,7800000.0,6900000.0,-1000000.0,28000000.0,,
Special Income Charges,1300000.0,2100000.0,24700000.0,2000000.0,19800000.0,,
Gain On Sale Of Ppe,1300000.0,2100000.0,24700000.0,2000000.0,19800000.0,,
Gain On Sale Of Business,,,0.0,0.0,0.0,,0.0
Write Off,,,0.0,0.0,0.0,,
Impairment Of Capital Assets,,,,,,,23900000.0
Gain On Sale Of Security,-6800000.0,-6800000.0,12000000.0,-4900000.0,8400000.0,,
Net Non Operating Interest Income Expense,-114200000.0,-104400000.0,-101500000.0,-104400000.0,-114300000.0,,
Total Other Finance Cost,4200000.0,3900000.0,4400000.0,3600000.0,4400000.0,,
Interest Expense Non Operating,112400000.0,103800000.0,98500000.0,103400000.0,110800000.0,,
Interest Income Non Operating,2400000.0,3300000.0,1400000.0,2600000.0,900000.0,,
Operating Income,1099100000.0,754300000.0,673500000.0,1131100000.0,1231500000.0,,
Operating Expense,2019200000.0,1804800000.0,1899700000.0,1896400000.0,1831900000.0,,
Other Operating Expenses,400000.0,3100000.0,6400000.0,2800000.0,-14100000.0,,
Selling General And Administration,2018800000.0,1801700000.0,1893300000.0,1893600000.0,1846000000.0,,
General And Administrative Expense,2018800000.0,1801700000.0,1893300000.0,1893600000.0,1846000000.0,,
Other Gand A,2018800000.0,1801700000.0,1893300000.0,1893600000.0,1846000000.0,,
Salaries And Wages,,,,,-4900000.0,-4900000.0,-5700000.0
Gross Profit,3118300000.0,2559100000.0,2573200000.0,3027500000.0,3063400000.0,,
Cost Of Revenue,3196200000.0,2746600000.0,2724000000.0,3135000000.0,3208100000.0,,
Total Revenue,6314500000.0,5305700000.0,5297200000.0,6162500000.0,6271500000.0,,
Operating Revenue,6314500000.0,5305700000.0,5297200000.0,6162500000.0,6271500000.0,,
