,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.108867,0.105362,0.095678,0.067308,0.07483,
Net Income From Continuing Operation Net Minority Interest,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Normalized Income,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Net Income From Continuing And Discontinued Operation,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Diluted Average Shares,110495000.0,110611000.0,112735281.0,114042000.0,115034000.0,
Basic Average Shares,110495000.0,110611000.0,112735281.0,114042000.0,115034000.0,
Diluted EPS,0.64,0.67,0.935235,1.12,0.99,
Basic EPS,0.64,0.67,0.935235,1.12,0.99,
Diluted NI Availto Com Stockholders,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Average Dilution Earnings,,,,,,0.0
Net Income Common Stockholders,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Net Income,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Net Income Including Noncontrolling Interests,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Net Income Continuous Operations,70248000.0,74034000.0,105434000.0,127195000.0,113523000.0,
Tax Provision,8582000.0,8719000.0,11155000.0,9179000.0,9182000.0,
Pretax Income,78830000.0,82753000.0,116589000.0,136374000.0,122705000.0,
Total Revenue,78830000.0,82753000.0,116589000.0,136374000.0,122705000.0,
Operating Revenue,78830000.0,82753000.0,116589000.0,136374000.0,122705000.0,
