quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,1.02,0.79571,0.22,0.28190002
2025-03-31,0.9,0.82571,0.07,0.09
2024-12-31,0.8,0.76571,0.03,0.0448
2024-09-30,0.77,0.79667,-0.03,-0.0335
