,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,271244.028045,2894.150982,89279.372369,762510.0,2251388.173716,
Tax Rate For Calcs,0.022585,0.131552,0.030233,0.21,0.089334,
Normalized EBITDA,79623000.0,85689000.0,73122000.0,98721000.0,81987000.0,
Total Unusual Items,12010000.0,22000.0,2953000.0,3631000.0,25202000.0,
Total Unusual Items Excluding Goodwill,12010000.0,22000.0,2953000.0,3631000.0,25202000.0,
Net Income From Continuing Operation Net Minority Interest,16198000.0,4744000.0,50000.0,11813000.0,13262000.0,
Reconciled Depreciation,36667000.0,41363000.0,41489000.0,48044000.0,50160000.0,
Reconciled Cost Of Revenue,41156000.0,40248000.0,39585000.0,39664000.0,39860000.0,
EBITDA,91633000.0,85711000.0,76075000.0,102352000.0,107189000.0,
EBIT,54966000.0,44348000.0,34586000.0,54308000.0,57029000.0,
Net Interest Income,-34826000.0,-35325000.0,-35808000.0,-38378000.0,-39263000.0,
Interest Expense,38849000.0,39407000.0,39812000.0,42317000.0,42891000.0,
Interest Income,4023000.0,4082000.0,4004000.0,3939000.0,3628000.0,
Normalized Income,4459244.028045,4724894.150982,-2813720.627631,8944510.0,-9688611.826284,
Net Income From Continuing And Discontinued Operation,16198000.0,4744000.0,50000.0,11813000.0,13262000.0,
Total Expenses,93240000.0,96569000.0,101488000.0,102014000.0,104418000.0,
Diluted Average Shares,30756000.0,31156000.0,31546000.0,31291000.0,31305000.0,
Basic Average Shares,30756000.0,31150000.0,31546000.0,31291000.0,31305000.0,
Diluted EPS,0.52,0.14,-0.01,0.37,0.41,
Basic EPS,0.52,0.14,-0.01,0.37,0.41,
Diluted NI Availto Com Stockholders,15865000.0,4484000.0,-209000.0,11537000.0,12957000.0,
Net Income Common Stockholders,15865000.0,4484000.0,-209000.0,11537000.0,12957000.0,
Otherunder Preferred Stock Dividend,333000.0,260000.0,259000.0,276000.0,305000.0,
Net Income,16198000.0,4744000.0,50000.0,11813000.0,13262000.0,
Minority Interests,445000.0,453000.0,524000.0,-665000.0,387000.0,
Net Income Including Noncontrolling Interests,15753000.0,4291000.0,-474000.0,12478000.0,12875000.0,
Net Income Continuous Operations,15753000.0,4291000.0,-474000.0,12478000.0,12875000.0,
Earnings From Equity Interest Net Of Tax,,,4594000.0,,,
Tax Provision,364000.0,650000.0,-158000.0,-487000.0,1263000.0,
Pretax Income,16117000.0,4941000.0,-5226000.0,11991000.0,14138000.0,
Other Income Expense,19094000.0,7170000.0,2953000.0,12674000.0,28468000.0,
Special Income Charges,-806000.0,72000.0,-768000.0,3402000.0,21788000.0,
Gain On Sale Of Business,0.0,0.0,0.0,0.0,19728000.0,
Other Special Charges,806000.0,-72000.0,-68000.0,-3402000.0,-2060000.0,
Impairment Of Capital Assets,0.0,0.0,836000.0,0.0,0.0,
Restructuring And Mergern Acquisition,,,,0.0,0.0,0.0
Earnings From Equity Interest,7084000.0,7148000.0,,9043000.0,3266000.0,812000.0
Gain On Sale Of Security,12816000.0,-50000.0,3721000.0,229000.0,3414000.0,
Net Non Operating Interest Income Expense,-34826000.0,-35325000.0,-35808000.0,-38378000.0,-39263000.0,
Interest Expense Non Operating,38849000.0,39407000.0,39812000.0,42317000.0,42891000.0,
Interest Income Non Operating,4023000.0,4082000.0,4004000.0,3939000.0,3628000.0,
Operating Income,31849000.0,33096000.0,27629000.0,37695000.0,24933000.0,
Operating Expense,47743000.0,53622000.0,58454000.0,56682000.0,59516000.0,
Other Operating Expenses,15000.0,127000.0,,23000.0,8487000.0,9991000.0
Other Taxes,,,,,13794000.0,14481000.0
Depreciation Amortization Depletion Income Statement,32326000.0,38664000.0,38040000.0,42376000.0,45118000.0,
Depreciation And Amortization In Income Statement,32326000.0,38664000.0,38040000.0,42376000.0,45118000.0,
Selling General And Administration,15402000.0,14831000.0,20414000.0,14283000.0,14398000.0,
General And Administrative Expense,15402000.0,14831000.0,20414000.0,14283000.0,14398000.0,
Other Gand A,15402000.0,14831000.0,20414000.0,14283000.0,14398000.0,
Gross Profit,79592000.0,86718000.0,86083000.0,94377000.0,84449000.0,
Cost Of Revenue,45497000.0,42947000.0,43034000.0,45332000.0,44902000.0,
Total Revenue,125089000.0,129665000.0,129117000.0,139709000.0,129351000.0,
Operating Revenue,121982000.0,125888000.0,125932000.0,135829000.0,126623000.0,
