,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,4324740.0,-933240.0,0.0,550410.0,38640.0,,
Tax Rate For Calcs,0.21,0.21,0.0,0.21,0.21,,
Normalized EBITDA,485235000.0,475103000.0,164397000.0,491915000.0,476293000.0,,
Total Unusual Items,20594000.0,-4444000.0,-993000.0,2621000.0,184000.0,,
Total Unusual Items Excluding Goodwill,20594000.0,-4444000.0,-993000.0,2621000.0,184000.0,,
Net Income From Continuing Operation Net Minority Interest,88977000.0,61177000.0,-228854000.0,83628000.0,79615000.0,,
Reconciled Depreciation,223905000.0,220310000.0,230831000.0,218579000.0,219886000.0,,
Reconciled Cost Of Revenue,341341000.0,338940000.0,328171000.0,342041000.0,330921000.0,,
EBITDA,505829000.0,470659000.0,163404000.0,494536000.0,476477000.0,,
EBIT,281924000.0,250349000.0,-67427000.0,271646000.0,256591000.0,,
Net Interest Income,-154720000.0,-155694000.0,-149938000.0,-148764000.0,-138854000.0,,
Interest Expense,162783000.0,163444000.0,170390000.0,163194000.0,149642000.0,,
Interest Income,8063000.0,7750000.0,20452000.0,14430000.0,10788000.0,,
Normalized Income,72707740.0,64687760.0,-227861000.0,81557410.0,79469640.0,,
Net Income From Continuing And Discontinued Operation,88977000.0,61177000.0,-228854000.0,83628000.0,79615000.0,,
Total Expenses,611866000.0,616033000.0,595904000.0,597621000.0,599064000.0,,
Rent Expense Supplemental,,,,,,314157000.0,301411000.0
Diluted Average Shares,158795000.0,158632000.0,158117000.0,158213000.0,157291000.0,,
Basic Average Shares,158312000.0,158202000.0,158117000.0,157725000.0,157039000.0,,
Diluted EPS,0.56,0.39,-1.45,0.53,0.51,,
Basic EPS,0.56,0.39,-1.45,0.53,0.51,,
Diluted NI Availto Com Stockholders,88977000.0,61177000.0,-228854000.0,83628000.0,79615000.0,,
Average Dilution Earnings,,,,0.0,0.0,0.0,
Net Income Common Stockholders,88977000.0,61177000.0,-228854000.0,83628000.0,79615000.0,,
Net Income,88977000.0,61177000.0,-228854000.0,83628000.0,79615000.0,,
Minority Interests,-30164000.0,-25728000.0,8963000.0,-24824000.0,-27334000.0,,
Net Income Including Noncontrolling Interests,119141000.0,86905000.0,-237817000.0,108452000.0,106949000.0,,
Net Income Continuous Operations,119141000.0,86905000.0,-237817000.0,108452000.0,106949000.0,,
Pretax Income,119141000.0,86905000.0,-237817000.0,108452000.0,106949000.0,,
Other Income Expense,17270000.0,-6583000.0,-350546000.0,-4390000.0,-5615000.0,,
Special Income Charges,-357000.0,-3596000.0,-707000.0,-188000.0,-189000.0,,
Gain On Sale Of Ppe,0.0,-2490000.0,,,0.0,,
Other Special Charges,,338000.0,,,,,
Write Off,0.0,0.0,0.0,0.0,0.0,,
Impairment Of Capital Assets,,,,0.0,0.0,13615000.0,
Restructuring And Mergern Acquisition,357000.0,768000.0,707000.0,188000.0,189000.0,,
Earnings From Equity Interest,-3324000.0,-2139000.0,-349553000.0,-7011000.0,-5799000.0,,
Gain On Sale Of Security,20951000.0,-848000.0,-286000.0,2809000.0,373000.0,,
Net Non Operating Interest Income Expense,-154720000.0,-155694000.0,-149938000.0,-148764000.0,-138854000.0,,
Interest Expense Non Operating,162783000.0,163444000.0,170390000.0,163194000.0,149642000.0,,
Interest Income Non Operating,8063000.0,7750000.0,20452000.0,14430000.0,10788000.0,,
Operating Income,256591000.0,249182000.0,262667000.0,261606000.0,251418000.0,,
Operating Expense,270439000.0,276890000.0,262945000.0,259891000.0,267799000.0,,
Depreciation Amortization Depletion Income Statement,223819000.0,220107000.0,226043000.0,222890000.0,219542000.0,,
Depreciation And Amortization In Income Statement,223819000.0,220107000.0,226043000.0,222890000.0,219542000.0,,
Selling General And Administration,46620000.0,56783000.0,36902000.0,37001000.0,48257000.0,,
General And Administrative Expense,46620000.0,56783000.0,36902000.0,37001000.0,48257000.0,,
Other Gand A,42516000.0,52284000.0,32504000.0,33352000.0,44109000.0,,
Salaries And Wages,4104000.0,4499000.0,4398000.0,3649000.0,4148000.0,,
Gross Profit,527030000.0,526072000.0,525612000.0,521497000.0,519217000.0,,
Cost Of Revenue,341427000.0,339143000.0,332959000.0,337730000.0,331265000.0,,
Total Revenue,868457000.0,865215000.0,858571000.0,859227000.0,850482000.0,,
Operating Revenue,864353000.0,860716000.0,854173000.0,855578000.0,846334000.0,,
