,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.069,0.21,0.378933,0.300493,
Normalized EBITDA,728000.0,219000.0,218000.0,-1452000.0,-469000.0,
Net Income From Continuing Operation Net Minority Interest,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Reconciled Depreciation,632000.0,638000.0,633000.0,633000.0,638000.0,
Reconciled Cost Of Revenue,12670000.0,11875000.0,11286000.0,10155000.0,11368000.0,
EBITDA,728000.0,219000.0,218000.0,-1452000.0,-469000.0,
EBIT,96000.0,-419000.0,-415000.0,-2085000.0,-1107000.0,
Normalized Income,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Net Income From Continuing And Discontinued Operation,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Total Expenses,18357000.0,17255000.0,16525000.0,15543000.0,16981000.0,
Total Operating Income As Reported,96000.0,-419000.0,-415000.0,-2085000.0,-1107000.0,
Diluted Average Shares,,10495082.0,10495548.0,10410580.0,10330325.0,10290265.0
Basic Average Shares,,10495082.0,10495548.0,10410580.0,10330325.0,10290265.0
Diluted EPS,,-0.07,-0.41,-0.13,-0.08,-0.16
Basic EPS,,-0.07,-0.41,-0.13,-0.08,-0.16
Diluted NI Availto Com Stockholders,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Net Income Common Stockholders,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Net Income,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Net Income Including Noncontrolling Interests,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Net Income Continuous Operations,-238000.0,-705000.0,-4294000.0,-1362000.0,-852000.0,
Tax Provision,30000.0,-52000.0,3649000.0,-831000.0,-366000.0,
Pretax Income,-208000.0,-757000.0,-645000.0,-2193000.0,-1218000.0,
Other Income Expense,-304000.0,-338000.0,-230000.0,-108000.0,-111000.0,
Other Non Operating Income Expenses,-304000.0,-338000.0,-230000.0,-108000.0,-111000.0,
Operating Income,96000.0,-419000.0,-415000.0,-2085000.0,-1107000.0,
Operating Expense,5687000.0,5380000.0,5239000.0,5388000.0,5613000.0,
Research And Development,723000.0,653000.0,637000.0,769000.0,616000.0,
Selling General And Administration,4964000.0,4727000.0,4602000.0,4619000.0,4997000.0,
Gross Profit,5783000.0,4961000.0,4824000.0,3303000.0,4506000.0,
Cost Of Revenue,12670000.0,11875000.0,11286000.0,10155000.0,11368000.0,
Total Revenue,18453000.0,16836000.0,16110000.0,13458000.0,15874000.0,
Operating Revenue,18453000.0,16836000.0,16110000.0,13458000.0,15874000.0,
