,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.026656,0.039788,0.005602,0.164116,0.21
Net Income From Continuing Operation Net Minority Interest,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Interest Income,8746000.0,8892000.0,8953000.0,9469000.0,9918000.0
Interest Expense,5185000.0,5453000.0,5180000.0,5338000.0,5544000.0
Interest Income,13931000.0,14345000.0,14133000.0,14807000.0,15462000.0
Normalized Income,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Income From Continuing And Discontinued Operation,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Diluted Average Shares,21666000.0,21666000.0,21666000.0,21666000.0,21666000.0
Basic Average Shares,21666000.0,21666000.0,21666000.0,21666000.0,21666000.0
Diluted EPS,0.23,0.15,0.15,0.07,-0.01
Basic EPS,0.23,0.15,0.15,0.07,-0.01
Diluted NI Availto Com Stockholders,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Income Common Stockholders,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Income,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Income Including Noncontrolling Interests,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Net Income Continuous Operations,4966000.0,3258000.0,3195000.0,1584000.0,-236000.0
Tax Provision,136000.0,135000.0,18000.0,311000.0,95000.0
Pretax Income,5102000.0,3393000.0,3213000.0,1895000.0,-141000.0
Gain On Sale Of Security,638000.0,506000.0,4000.0,285000.0,30000.0
Operating Expense,1157000.0,1092000.0,1098000.0,1157000.0,1089000.0
Other Operating Expenses,332000.0,327000.0,327000.0,331000.0,330000.0
Selling General And Administration,825000.0,765000.0,771000.0,826000.0,759000.0
General And Administrative Expense,825000.0,765000.0,771000.0,826000.0,759000.0
Total Revenue,6259000.0,4485000.0,4311000.0,3052000.0,948000.0
Operating Revenue,6259000.0,4485000.0,4311000.0,3052000.0,948000.0
