,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,21415665.36933,112404.0,-103472.053946,100345.0,159173.75227
Tax Rate For Calcs,0.222683,0.228,0.185102,0.235,0.239
Normalized EBITDA,214172000.0,214702000.0,210703000.0,220829000.0,201137000.0
Total Unusual Items,96171000.0,493000.0,-559000.0,427000.0,666000.0
Total Unusual Items Excluding Goodwill,96171000.0,493000.0,-559000.0,427000.0,666000.0
Net Income From Continuing Operation Net Minority Interest,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Reconciled Depreciation,18114000.0,18637000.0,18846000.0,18754000.0,18852000.0
Reconciled Cost Of Revenue,258474000.0,247397000.0,259500000.0,248645000.0,240516000.0
EBITDA,310343000.0,215195000.0,210144000.0,221256000.0,201803000.0
EBIT,292229000.0,196558000.0,191298000.0,202502000.0,182951000.0
Net Interest Income,9191000.0,10036000.0,12803000.0,13438000.0,11413000.0
Interest Expense,92000.0,185000.0,144000.0,141000.0,139000.0
Interest Income,9283000.0,10221000.0,12947000.0,13579000.0,11552000.0
Normalized Income,152327665.36933,151136404.0,156226527.946054,154573345.0,138613173.75227
Net Income From Continuing And Discontinued Operation,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Total Expenses,410966000.0,394247000.0,411646000.0,393564000.0,382472000.0
Total Operating Income As Reported,148635000.0,157097000.0,145544000.0,143832000.0,136514000.0
Diluted Average Shares,127278000.0,129450000.0,131421000.0,130671000.0,132073000.0
Basic Average Shares,124470000.0,126561000.0,128642000.0,129418000.0,130815000.0
Diluted EPS,1.78,1.17,1.19,1.19,1.05
Basic EPS,1.82,1.2,1.21,1.2,1.06
Diluted NI Availto Com Stockholders,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Net Income Common Stockholders,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Net Income,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Net Income Including Noncontrolling Interests,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Net Income Continuous Operations,227083000.0,151517000.0,155771000.0,154900000.0,139120000.0
Tax Provision,65054000.0,44856000.0,35383000.0,47461000.0,43692000.0
Pretax Income,292137000.0,196373000.0,191154000.0,202361000.0,182812000.0
Other Income Expense,134311000.0,29240000.0,32807000.0,45091000.0,34885000.0
Other Non Operating Income Expenses,4500000.0,,0.0,8151000.0,
Special Income Charges,94412000.0,,,,0.0
Gain On Sale Of Business,94412000.0,,,,0.0
Earnings From Equity Interest,33640000.0,28747000.0,33366000.0,36513000.0,34219000.0
Gain On Sale Of Security,1759000.0,493000.0,-559000.0,427000.0,666000.0
Net Non Operating Interest Income Expense,9191000.0,10036000.0,12803000.0,13438000.0,11413000.0
Interest Expense Non Operating,92000.0,185000.0,144000.0,141000.0,139000.0
Interest Income Non Operating,9283000.0,10221000.0,12947000.0,13579000.0,11552000.0
Operating Income,148635000.0,157097000.0,145544000.0,143832000.0,136514000.0
Operating Expense,152492000.0,146850000.0,152146000.0,144919000.0,141956000.0
Other Operating Expenses,63545000.0,58074000.0,59350000.0,59178000.0,56644000.0
Depreciation Amortization Depletion Income Statement,18114000.0,18637000.0,18846000.0,18754000.0,18852000.0
Depreciation And Amortization In Income Statement,18114000.0,18637000.0,18846000.0,18754000.0,18852000.0
Amortization,10449000.0,10710000.0,10585000.0,10413000.0,10485000.0
Amortization Of Intangibles Income Statement,10449000.0,10710000.0,10585000.0,10413000.0,10485000.0
Depreciation Income Statement,7665000.0,7927000.0,8261000.0,8341000.0,8367000.0
Selling General And Administration,70833000.0,70139000.0,73950000.0,66987000.0,66460000.0
General And Administrative Expense,70833000.0,70139000.0,73950000.0,66987000.0,66460000.0
Other Gand A,56942000.0,56001000.0,52548000.0,53291000.0,53991000.0
Salaries And Wages,13891000.0,14138000.0,21402000.0,13696000.0,12469000.0
Gross Profit,301127000.0,303947000.0,297690000.0,288751000.0,278470000.0
Cost Of Revenue,258474000.0,247397000.0,259500000.0,248645000.0,240516000.0
Total Revenue,559601000.0,551344000.0,557190000.0,537396000.0,518986000.0
Operating Revenue,559601000.0,551344000.0,557190000.0,537396000.0,518986000.0
