,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.226779,0.194,0.242167,0.238,0.213,
Normalized EBITDA,458811000.0,329472000.0,440634000.0,569728000.0,632838000.0,
Net Income From Continuing Operation Net Minority Interest,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Reconciled Depreciation,147524000.0,145031000.0,136488000.0,141705000.0,143355000.0,
Reconciled Cost Of Revenue,2935023000.0,2542255000.0,2586133000.0,2846161000.0,2993656000.0,
EBITDA,458811000.0,329472000.0,440634000.0,569728000.0,632838000.0,
EBIT,311287000.0,184441000.0,304146000.0,428023000.0,489483000.0,
Net Interest Income,-71988000.0,-64892000.0,-53109000.0,-54263000.0,-52016000.0,
Interest Expense,71988000.0,64892000.0,53109000.0,54263000.0,52016000.0,
Normalized Income,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Net Income From Continuing And Discontinued Operation,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Total Expenses,3922777000.0,3473055000.0,3516160000.0,3804471000.0,3966857000.0,
Total Operating Income As Reported,311287000.0,184441000.0,304146000.0,428023000.0,489483000.0,
Diluted Average Shares,,114339000.0,115598000.0,116940000.0,120072000.0,123371000.0
Basic Average Shares,,113675000.0,114814000.0,116176000.0,119244000.0,121972000.0
Diluted EPS,,0.84,1.65,2.44,2.87,2.1
Basic EPS,,0.85,1.66,2.45,2.89,2.12
Diluted NI Availto Com Stockholders,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Net Income Common Stockholders,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Net Income,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Net Income Including Noncontrolling Interests,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Net Income Continuous Operations,185031000.0,96304000.0,190244000.0,284783000.0,344090000.0,
Tax Provision,54268000.0,23245000.0,60793000.0,88977000.0,93377000.0,
Pretax Income,239299000.0,119549000.0,251037000.0,373760000.0,437467000.0,
Net Non Operating Interest Income Expense,-71988000.0,-64892000.0,-53109000.0,-54263000.0,-52016000.0,
Interest Expense Non Operating,71988000.0,64892000.0,53109000.0,54263000.0,52016000.0,
Operating Income,311287000.0,184441000.0,304146000.0,428023000.0,489483000.0,
Operating Expense,987754000.0,930800000.0,930027000.0,958310000.0,973201000.0,
Selling General And Administration,987754000.0,930800000.0,930027000.0,958310000.0,973201000.0,
Gross Profit,1299041000.0,1115241000.0,1234173000.0,1386333000.0,1462684000.0,
Cost Of Revenue,2935023000.0,2542255000.0,2586133000.0,2846161000.0,2993656000.0,
Total Revenue,4234064000.0,3657496000.0,3820306000.0,4232494000.0,4456340000.0,
Operating Revenue,4234064000.0,3657496000.0,3820306000.0,4232494000.0,4456340000.0,
