,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,2172900.0,-1240500.0,-319200.0,-1054200.0,-1450500.0,,
Tax Rate For Calcs,0.15,0.15,0.15,0.15,0.15,,
Normalized EBITDA,102604000.0,104311000.0,58696000.0,41550000.0,28845000.0,,
Total Unusual Items,14486000.0,-8270000.0,-2128000.0,-7028000.0,-9670000.0,,
Total Unusual Items Excluding Goodwill,14486000.0,-8270000.0,-2128000.0,-7028000.0,-9670000.0,,
Net Income From Continuing Operation Net Minority Interest,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Reconciled Depreciation,74058000.0,62774000.0,35048000.0,32251000.0,31979000.0,,
Reconciled Cost Of Revenue,141636000.0,119767000.0,90427000.0,86599000.0,89670000.0,,
EBITDA,117090000.0,96041000.0,56568000.0,34522000.0,19175000.0,,
EBIT,43032000.0,33267000.0,21520000.0,2271000.0,-12804000.0,,
Net Interest Income,-1398000.0,-550000.0,-4056000.0,-2747000.0,-2480000.0,,
Interest Expense,5014000.0,4217000.0,1368000.0,4455000.0,4933000.0,,
Interest Income,3616000.0,3667000.0,325000.0,1708000.0,2453000.0,,
Normalized Income,44265900.0,13269500.0,-11669200.0,-20619200.0,-40031500.0,,
Net Income From Continuing And Discontinued Operation,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Total Expenses,239796000.0,208122000.0,147004000.0,139401000.0,142327000.0,,
Total Operating Income As Reported,39482000.0,35508000.0,25660000.0,4146000.0,-14318000.0,,
Diluted Average Shares,488580386.0,456411599.0,,301000656.0,292027581.0,287210710.0,
Basic Average Shares,485086253.0,453063479.0,,301000656.0,292027581.0,287210710.0,
Diluted EPS,0.11,0.01,,-0.09,-0.17,-0.05,
Basic EPS,0.11,0.01,,-0.09,-0.17,-0.05,
Diluted NI Availto Com Stockholders,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Net Income Common Stockholders,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Net Income,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Net Income Including Noncontrolling Interests,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Net Income Continuous Operations,56579000.0,6240000.0,-13478000.0,-26593000.0,-48251000.0,,
Tax Provision,-18561000.0,22810000.0,33630000.0,24409000.0,30514000.0,,
Pretax Income,38018000.0,29050000.0,20152000.0,-2184000.0,-17737000.0,,
Other Income Expense,14486000.0,-8270000.0,-2128000.0,-7028000.0,-9670000.0,,
Special Income Charges,0.0,-5584000.0,0.0,0.0,0.0,,
Gain On Sale Of Ppe,,,0.0,0.0,0.0,0.0,0.0
Write Off,,,0.0,0.0,0.0,,0.0
Impairment Of Capital Assets,,,0.0,0.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,0.0,5584000.0,0.0,0.0,0.0,,
Gain On Sale Of Security,14486000.0,-2686000.0,-2128000.0,-7028000.0,-9670000.0,,
Net Non Operating Interest Income Expense,-1398000.0,-550000.0,-4056000.0,-2747000.0,-2480000.0,,
Total Other Finance Cost,,,,,,,462000.0
Interest Expense Non Operating,5014000.0,4217000.0,1368000.0,4455000.0,4933000.0,,
Interest Income Non Operating,3616000.0,3667000.0,325000.0,1708000.0,2453000.0,,
Operating Income,24930000.0,37870000.0,26336000.0,7591000.0,-5587000.0,,
Operating Expense,24421000.0,25935000.0,21901000.0,20931000.0,21049000.0,,
Other Operating Expenses,8107000.0,7715000.0,7895000.0,8556000.0,8125000.0,,
Depreciation Amortization Depletion Income Statement,319000.0,354000.0,372000.0,380000.0,371000.0,,
Depreciation And Amortization In Income Statement,319000.0,354000.0,372000.0,380000.0,371000.0,,
Depreciation Income Statement,319000.0,354000.0,372000.0,380000.0,371000.0,,
Selling General And Administration,15995000.0,17866000.0,13634000.0,11995000.0,12553000.0,,
General And Administrative Expense,15995000.0,17866000.0,13634000.0,11995000.0,12553000.0,,
Other Gand A,6739000.0,6307000.0,6612000.0,4602000.0,4841000.0,,
Salaries And Wages,9256000.0,11559000.0,7022000.0,7393000.0,7712000.0,,
Gross Profit,49351000.0,63805000.0,48237000.0,28522000.0,15462000.0,,
Cost Of Revenue,215375000.0,182187000.0,125103000.0,118470000.0,121278000.0,,
Total Revenue,264726000.0,245992000.0,173340000.0,146992000.0,136740000.0,,
Operating Revenue,264726000.0,245992000.0,173340000.0,146992000.0,136740000.0,,
