,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,63070350.0,0.0,-1181250.0,,
Tax Rate For Calcs,0.0,0.0,0.21,0.0,0.21,,
Normalized EBITDA,124270000.0,115712000.0,-175893000.0,71311000.0,98349000.0,,
Total Unusual Items,-1075000.0,-10388000.0,300335000.0,20577000.0,-5625000.0,,
Total Unusual Items Excluding Goodwill,-1075000.0,-10388000.0,300335000.0,20577000.0,-5625000.0,,
Net Income From Continuing Operation Net Minority Interest,-5202000.0,-15183000.0,15253000.0,-7365000.0,3983000.0,,
Reconciled Depreciation,61902000.0,66185000.0,55170000.0,54845000.0,53924000.0,,
Reconciled Cost Of Revenue,119612000.0,119417000.0,118136000.0,121154000.0,108125000.0,,
EBITDA,123195000.0,105324000.0,124442000.0,91888000.0,92724000.0,,
EBIT,61293000.0,39139000.0,69272000.0,37043000.0,38800000.0,,
Net Interest Income,-47028000.0,-45359000.0,-36982000.0,-42319000.0,-37480000.0,,
Interest Expense,68110000.0,60684000.0,50134000.0,46307000.0,36841000.0,,
Interest Income,22988000.0,17172000.0,15049000.0,5824000.0,1202000.0,,
Normalized Income,-4127000.0,-4795000.0,-222011650.0,-27942000.0,8426750.0,,
Net Income From Continuing And Discontinued Operation,-5202000.0,-15183000.0,15253000.0,-7365000.0,3983000.0,,
Total Expenses,156806000.0,190833000.0,196133000.0,197014000.0,182081000.0,,
Rent Expense Supplemental,6105000.0,6106000.0,5287000.0,6363000.0,6368000.0,,
Diluted Average Shares,70436000.0,70424000.0,72915000.0,69733000.0,70180000.0,,
Basic Average Shares,70436000.0,70424000.0,70654000.0,67999000.0,68740000.0,,
Diluted EPS,-0.16,-0.3,0.13,-0.21,-0.04,,
Basic EPS,-0.16,-0.3,0.13,-0.21,-0.04,,
Diluted NI Availto Com Stockholders,-11613000.0,-21437000.0,8768000.0,-13714000.0,-2695000.0,,
Average Dilution Earnings,0.0,-362000.0,1309000.0,-435000.0,-99000.0,,
Net Income Common Stockholders,-11613000.0,-21075000.0,7459000.0,-13279000.0,-2596000.0,,
Otherunder Preferred Stock Dividend,521000.0,,,,436000.0,,
Preferred Stock Dividends,5890000.0,5892000.0,5895000.0,5914000.0,6143000.0,,
Net Income,-5202000.0,-15183000.0,15253000.0,-7365000.0,3983000.0,,
Minority Interests,1615000.0,6362000.0,-3885000.0,1899000.0,2024000.0,,
Net Income Including Noncontrolling Interests,-6817000.0,-21545000.0,19138000.0,-9264000.0,1959000.0,,
Net Income Continuous Operations,-6817000.0,-21545000.0,19138000.0,-9264000.0,1959000.0,,
Pretax Income,-6817000.0,-21545000.0,19138000.0,-9264000.0,1959000.0,,
Other Income Expense,-23850000.0,-9218000.0,20583000.0,5149000.0,-1300000.0,,
Special Income Charges,-11740000.0,-9906000.0,302040000.0,13106000.0,-2884000.0,,
Gain On Sale Of Business,-1946000.0,0.0,189138000.0,371000.0,-8129000.0,,
Other Special Charges,,,-25985000.0,,-17777000.0,,
Impairment Of Capital Assets,0.0,,38232000.0,0.0,13721000.0,,
Restructuring And Mergern Acquisition,9794000.0,9906000.0,-125149000.0,-12735000.0,-1189000.0,,
Earnings From Equity Interest,-22775000.0,1170000.0,-279752000.0,-15428000.0,4325000.0,,
Gain On Sale Of Security,10665000.0,-482000.0,-1705000.0,7471000.0,-2741000.0,,
Net Non Operating Interest Income Expense,-47028000.0,-45359000.0,-36982000.0,-42319000.0,-37480000.0,,
Total Other Finance Cost,1906000.0,1847000.0,1897000.0,1836000.0,1841000.0,,
Interest Expense Non Operating,68110000.0,60684000.0,50134000.0,46307000.0,36841000.0,,
Interest Income Non Operating,22988000.0,17172000.0,15049000.0,5824000.0,1202000.0,,
Operating Income,64061000.0,33032000.0,35537000.0,27906000.0,40739000.0,,
Operating Expense,35452000.0,69729000.0,76263000.0,74191000.0,72279000.0,,
Other Operating Expenses,-46287000.0,-16493000.0,,,,52118000.0,382374000.0
Depreciation Amortization Depletion Income Statement,60160000.0,64498000.0,53436000.0,53176000.0,52247000.0,,
Depreciation And Amortization In Income Statement,60160000.0,64498000.0,53436000.0,53176000.0,52247000.0,,
Selling General And Administration,21579000.0,21724000.0,22827000.0,21015000.0,20032000.0,,
Gross Profit,99513000.0,102761000.0,111800000.0,102097000.0,113018000.0,,
Cost Of Revenue,121354000.0,121104000.0,119870000.0,122823000.0,109802000.0,,
Total Revenue,220867000.0,223865000.0,231670000.0,224920000.0,222820000.0,,
Operating Revenue,202583000.0,201667000.0,200916000.0,198714000.0,189425000.0,,
