,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-1370100.0,0.0,-1636800.0,-3126600.0,-1000200.0,,
Tax Rate For Calcs,0.15,0.0,0.15,0.15,0.15,,
Normalized EBITDA,45489000.0,23554000.0,23464000.0,31992000.0,20249000.0,,
Total Unusual Items,-9134000.0,-36958000.0,-10912000.0,-20844000.0,-6668000.0,,
Total Unusual Items Excluding Goodwill,-9134000.0,-36958000.0,-10912000.0,-20844000.0,-6668000.0,,
Net Income From Continuing Operation Net Minority Interest,19326000.0,-26806000.0,946000.0,1100000.0,7280000.0,,
Reconciled Depreciation,13083000.0,14425000.0,7635000.0,8374000.0,4867000.0,,
Reconciled Cost Of Revenue,60171000.0,46837000.0,42796000.0,44719000.0,40416000.0,,
EBITDA,36355000.0,-13404000.0,12552000.0,11148000.0,13581000.0,,
EBIT,23272000.0,-27829000.0,4917000.0,2774000.0,8714000.0,,
Net Interest Income,123000.0,-536000.0,-1100000.0,-372000.0,-281000.0,,
Interest Expense,1718000.0,1563000.0,1548000.0,1674000.0,1434000.0,,
Interest Income,1924000.0,1126000.0,627000.0,1291000.0,1434000.0,,
Normalized Income,27089900.0,10152000.0,10221200.0,18817400.0,12947800.0,,
Net Income From Continuing And Discontinued Operation,19326000.0,-26806000.0,946000.0,1100000.0,7280000.0,,
Total Expenses,66739000.0,68488000.0,49170000.0,48814000.0,49734000.0,,
Rent Expense Supplemental,385000.0,351000.0,338000.0,252000.0,542000.0,,
Total Operating Income As Reported,,,,,,,-2271000.0
Diluted Average Shares,264423547.0,257172124.0,,262052961.0,261481062.0,233510750.0,
Basic Average Shares,257734700.0,257172124.0,,256912077.0,254974179.0,233510750.0,
Diluted EPS,0.07,-0.1,,0.004198,0.03,-0.01,
Basic EPS,0.07,-0.1,,0.004282,0.03,-0.01,
Diluted NI Availto Com Stockholders,19326000.0,-26806000.0,946000.0,1100000.0,7280000.0,,
Net Income Common Stockholders,19326000.0,-26806000.0,946000.0,1100000.0,7280000.0,,
Net Income,19326000.0,-26806000.0,946000.0,1100000.0,7280000.0,,
Minority Interests,-2228000.0,2586000.0,-2423000.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,21554000.0,-29392000.0,3369000.0,1100000.0,7280000.0,,
Net Income Continuous Operations,21554000.0,-29392000.0,3369000.0,1100000.0,7280000.0,,
Pretax Income,21554000.0,-29392000.0,3369000.0,1100000.0,7280000.0,,
Other Income Expense,-9134000.0,-36958000.0,-10912000.0,-20844000.0,-6668000.0,,
Special Income Charges,-2105000.0,-1646000.0,-16626000.0,-1730000.0,-1362000.0,,
Gain On Sale Of Business,0.0,,0.0,0.0,118000.0,,
Restructuring And Mergern Acquisition,2105000.0,1646000.0,3563000.0,1730000.0,1480000.0,,
Earnings From Equity Interest,0.0,0.0,0.0,0.0,0.0,,
Gain On Sale Of Security,-7029000.0,-35312000.0,5714000.0,-19114000.0,-5306000.0,,
Net Non Operating Interest Income Expense,123000.0,-536000.0,-1100000.0,-372000.0,-281000.0,,
Total Other Finance Cost,83000.0,99000.0,179000.0,-11000.0,281000.0,,
Interest Expense Non Operating,1718000.0,1563000.0,1548000.0,1674000.0,1434000.0,,
Interest Income Non Operating,1924000.0,1126000.0,627000.0,1291000.0,1434000.0,,
Operating Income,30565000.0,8102000.0,15381000.0,22316000.0,14229000.0,,
Operating Expense,6568000.0,7258000.0,6374000.0,4095000.0,9318000.0,,
Other Operating Expenses,1633000.0,2158000.0,2441000.0,2397000.0,2720000.0,,
Other Taxes,339000.0,382000.0,,,0.0,,
Depreciation Amortization Depletion Income Statement,,32000.0,,,,34000.0,
Depreciation And Amortization In Income Statement,,32000.0,,,,34000.0,
Depreciation Income Statement,,32000.0,,,,34000.0,
Selling General And Administration,4596000.0,4686000.0,2623000.0,1698000.0,6598000.0,,
Selling And Marketing Expense,435000.0,395000.0,,,460000.0,272000.0,
General And Administrative Expense,4161000.0,4291000.0,1679000.0,1698000.0,6138000.0,,
Other Gand A,395000.0,446000.0,-421000.0,365000.0,334000.0,,
Rent And Landing Fees,385000.0,351000.0,338000.0,252000.0,542000.0,,
Salaries And Wages,3381000.0,3494000.0,1762000.0,1081000.0,5262000.0,,
Gross Profit,37133000.0,15360000.0,21755000.0,26411000.0,23547000.0,,
Cost Of Revenue,60171000.0,61230000.0,42796000.0,44719000.0,40416000.0,,
Total Revenue,97304000.0,76590000.0,64551000.0,71130000.0,63963000.0,,
Operating Revenue,97304000.0,76590000.0,64551000.0,71130000.0,63963000.0,,
