,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.11385,0.204052,0.171859,0.21,0.132893,,
Net Income From Continuing Operation Net Minority Interest,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Reconciled Depreciation,1684000.0,1672000.0,1595000.0,1319000.0,1279000.0,,
Net Interest Income,35111000.0,33393000.0,31418000.0,33509000.0,33591000.0,,
Interest Expense,15264000.0,15208000.0,14717000.0,12587000.0,12447000.0,,
Interest Income,50375000.0,48601000.0,46135000.0,46096000.0,46038000.0,,
Normalized Income,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Net Income From Continuing And Discontinued Operation,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Diluted Average Shares,62777430.0,,54121844.0,47242863.0,45665387.0,,41513773.0
Basic Average Shares,53516995.0,,48315228.0,47242863.0,45665387.0,,41513773.0
Diluted EPS,0.48,,0.34,0.48,0.31,,0.57
Basic EPS,0.5,,0.34,0.48,0.31,,0.57
Diluted NI Availto Com Stockholders,27001000.0,22135000.0,16268000.0,22684000.0,14035000.0,,
Net Income Common Stockholders,27001000.0,16872000.0,16268000.0,22684000.0,14035000.0,,
Net Income,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Net Income Including Noncontrolling Interests,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Net Income Continuous Operations,27001000.0,17561000.0,16268000.0,22684000.0,14035000.0,,
Tax Provision,3469000.0,4502000.0,3376000.0,-1164000.0,2151000.0,,
Pretax Income,30470000.0,22063000.0,19644000.0,21520000.0,16186000.0,,
Gain On Sale Of Security,21933000.0,-24326000.0,-12805000.0,-10289000.0,711000.0,,
Operating Expense,7966000.0,8745000.0,6969000.0,6105000.0,7621000.0,,
Other Operating Expenses,,11000.0,396000.0,,,0.0,
Selling General And Administration,2867000.0,2778000.0,2641000.0,2577000.0,2931000.0,,
General And Administrative Expense,2867000.0,2778000.0,2641000.0,2577000.0,2931000.0,,
Total Revenue,38436000.0,30808000.0,26613000.0,27625000.0,23807000.0,,
Operating Revenue,38436000.0,30808000.0,26613000.0,27625000.0,23807000.0,,
