,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,4596241.530343,-60270.0,-55068132.93562,-5139750.0,-240810.7404,,
Tax Rate For Calcs,0.376834,0.287,0.159009,0.21,0.353613,,
Normalized EBITDA,80293000.0,98501000.0,66813000.0,107391000.0,135776000.0,,
Total Unusual Items,12197000.0,-210000.0,-346321000.0,-24475000.0,-681000.0,,
Total Unusual Items Excluding Goodwill,12197000.0,-210000.0,-346321000.0,-24475000.0,-681000.0,,
Net Income From Continuing Operation Net Minority Interest,11809000.0,17490000.0,-311969000.0,-14947000.0,37217000.0,,
Reconciled Depreciation,42181000.0,37236000.0,53727000.0,44379000.0,45702000.0,,
Reconciled Cost Of Revenue,260537000.0,249285000.0,307686000.0,306223000.0,238291000.0,,
EBITDA,92490000.0,98291000.0,-279508000.0,82916000.0,135095000.0,,
EBIT,50309000.0,61055000.0,-333235000.0,38537000.0,89393000.0,,
Net Interest Income,-31359000.0,-36534000.0,-37719000.0,-43677000.0,-31816000.0,,
Interest Expense,31359000.0,36534000.0,37719000.0,43677000.0,31816000.0,,
Normalized Income,4208241.530343,17639730.0,-20716132.93562,4388250.0,37657189.2596,,
Net Income From Continuing And Discontinued Operation,47564000.0,5506000.0,-311969000.0,-14947000.0,30159000.0,,
Total Expenses,512876000.0,454898000.0,551031000.0,528667000.0,428722000.0,,
Total Operating Income As Reported,38112000.0,61265000.0,-318763000.0,39507000.0,90074000.0,,
Diluted Average Shares,164150000.0,161818000.0,160424000.0,159804000.0,160765000.0,,
Basic Average Shares,162833000.0,160568000.0,160424000.0,159804000.0,159795000.0,,
Diluted EPS,0.29,0.04,-1.94,-0.09,0.18,,
Basic EPS,0.29,0.04,-1.91,-0.09,0.18,,
Diluted NI Availto Com Stockholders,47564000.0,5493000.0,-306638000.0,-14947000.0,30159000.0,,
Average Dilution Earnings,,-13000.0,,,,-17000.0,-17250000.0
Net Income Common Stockholders,47564000.0,5506000.0,-306638000.0,-14947000.0,30159000.0,,
Net Income,47564000.0,5506000.0,-311969000.0,-14947000.0,30159000.0,,
Minority Interests,,,,,,0.0,0.0
Net Income Including Noncontrolling Interests,47564000.0,5506000.0,-311969000.0,-14947000.0,30159000.0,,
Net Income Discontinuous Operations,35755000.0,-11984000.0,,,-7058000.0,-7291000.0,
Net Income Continuous Operations,11809000.0,17490000.0,-311969000.0,-14947000.0,37217000.0,,
Tax Provision,7141000.0,7031000.0,-58985000.0,9807000.0,20360000.0,,
Pretax Income,18950000.0,24521000.0,-370954000.0,-5140000.0,57577000.0,,
Other Income Expense,12197000.0,-210000.0,-346321000.0,-24475000.0,-681000.0,,
Special Income Charges,,,-331849000.0,-23710000.0,-12768000.0,-21120000.0,-21363000.0
Other Special Charges,,,0.0,205000.0,,,
Write Off,,,333308000.0,24111000.0,12497000.0,19326000.0,15453000.0
Impairment Of Capital Assets,,,0.0,0.0,,,0.0
Restructuring And Mergern Acquisition,,,,-606000.0,271000.0,1794000.0,5910000.0
Gain On Sale Of Security,12197000.0,-210000.0,-14472000.0,-765000.0,-681000.0,,
Net Non Operating Interest Income Expense,-31359000.0,-36534000.0,-37719000.0,-43677000.0,-31816000.0,,
Interest Expense Non Operating,31359000.0,36534000.0,37719000.0,43677000.0,31816000.0,,
Operating Income,38112000.0,61265000.0,13086000.0,63012000.0,90074000.0,,
Operating Expense,245061000.0,201529000.0,238511000.0,221422000.0,177553000.0,,
Other Operating Expenses,,35028000.0,23419000.0,1476000.0,41494000.0,36216000.0,
Depreciation Amortization Depletion Income Statement,34903000.0,33152000.0,48893000.0,43357000.0,32824000.0,,
Depreciation And Amortization In Income Statement,34903000.0,33152000.0,48893000.0,43357000.0,32824000.0,,
Selling General And Administration,210158000.0,168377000.0,193297000.0,176589000.0,144729000.0,,
Selling And Marketing Expense,27040000.0,25325000.0,25813000.0,26823000.0,24911000.0,,
General And Administrative Expense,183118000.0,143052000.0,167484000.0,149766000.0,119818000.0,,
Other Gand A,183118000.0,143052000.0,167484000.0,149766000.0,119818000.0,,
Gross Profit,283173000.0,262794000.0,251597000.0,284434000.0,267627000.0,,
Cost Of Revenue,267815000.0,253369000.0,312520000.0,307245000.0,251169000.0,,
Total Revenue,550988000.0,516163000.0,564117000.0,591679000.0,518796000.0,,
Operating Revenue,550988000.0,516163000.0,564117000.0,591679000.0,518796000.0,,
