,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.229327,0.238,0.221009,0.235,0.047743,
Net Income From Continuing Operation Net Minority Interest,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Reconciled Depreciation,746000.0,725000.0,733000.0,734000.0,699000.0,
Net Interest Income,128119000.0,127056000.0,124325000.0,117436000.0,105617000.0,
Interest Expense,200154000.0,187117000.0,187434000.0,179240000.0,152452000.0,
Interest Income,328273000.0,314173000.0,311759000.0,296676000.0,258069000.0,
Normalized Income,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Net Income From Continuing And Discontinued Operation,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Diluted NI Availto Com Stockholders,66813000.0,78387000.0,68806000.0,72836000.0,56634000.0,
Net Income Common Stockholders,66813000.0,78387000.0,68806000.0,72836000.0,56634000.0,
Otherunder Preferred Stock Dividend,1823000.0,,,,,
Preferred Stock Dividends,7757000.0,8667000.0,8667000.0,8668000.0,8668000.0,
Net Income,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Net Income Including Noncontrolling Interests,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Net Income Continuous Operations,76393000.0,87054000.0,77473000.0,81504000.0,65302000.0,
Tax Provision,22732000.0,27238000.0,21980000.0,25056000.0,3274000.0,
Pretax Income,99125000.0,114292000.0,99453000.0,106560000.0,68576000.0,
Gain On Sale Of Security,0.0,-108000.0,,,0.0,0.0
Selling General And Administration,33952000.0,34721000.0,37289000.0,30620000.0,29530000.0,
General And Administrative Expense,33952000.0,34721000.0,37289000.0,30620000.0,29530000.0,
Insurance And Claims,5579000.0,5125000.0,4030000.0,3568000.0,3806000.0,
Salaries And Wages,28373000.0,29596000.0,33259000.0,27052000.0,25724000.0,
Total Revenue,158477000.0,166974000.0,158119000.0,152466000.0,134592000.0,
Operating Revenue,158477000.0,166974000.0,158119000.0,152466000.0,134592000.0,
