,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,,0.0,-80328.017771,77027.0,0.0
Tax Rate For Calcs,0.201091,0.201,0.201,0.205443,0.197,
Total Unusual Items,,,,-391000.0,391000.0,-2000.0
Total Unusual Items Excluding Goodwill,,,,-391000.0,391000.0,-2000.0
Net Income From Continuing Operation Net Minority Interest,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Reconciled Depreciation,2667000.0,,2773000.0,2639000.0,2927000.0,2881000.0
Net Interest Income,48292000.0,,47361000.0,48648000.0,48961000.0,47551000.0
Interest Expense,35120000.0,,29363000.0,25154000.0,22192000.0,18367000.0
Interest Income,83412000.0,,76724000.0,73802000.0,71153000.0,65918000.0
Normalized Income,19618000.0,,21562000.0,20340671.982229,20541027.0,20357000.0
Net Income From Continuing And Discontinued Operation,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Diluted Average Shares,16138320.0,,16118858.0,16044223.0,16018419.0,16003372.0
Basic Average Shares,16138320.0,,16118858.0,16044223.0,16018419.0,16003372.0
Diluted EPS,1.22,,1.34,1.25,1.3,1.27
Basic EPS,1.22,,1.34,1.25,1.3,1.27
Diluted NI Availto Com Stockholders,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Net Income Common Stockholders,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Net Income,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Net Income Including Noncontrolling Interests,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Net Income Continuous Operations,19618000.0,,21562000.0,20030000.0,20855000.0,20357000.0
Tax Provision,4938000.0,,5423000.0,5179000.0,5132000.0,5010000.0
Pretax Income,24556000.0,,26985000.0,25209000.0,25987000.0,25367000.0
Special Income Charges,,,,,,-2000.0
Other Special Charges,,,,,,2000.0
Depreciation Amortization Depletion Income Statement,938000.0,,929000.0,,894000.0,
Depreciation And Amortization In Income Statement,938000.0,,929000.0,,894000.0,
Depreciation Income Statement,938000.0,,929000.0,,894000.0,
Selling General And Administration,20292000.0,,18237000.0,22223000.0,17258000.0,16461000.0
General And Administrative Expense,20292000.0,,18237000.0,20658000.0,17258000.0,16461000.0
Salaries And Wages,20292000.0,,18237000.0,18400000.0,17258000.0,16461000.0
Total Revenue,57959000.0,,58229000.0,56949000.0,58207000.0,55196000.0
Operating Revenue,57959000.0,,58229000.0,56949000.0,58207000.0,55196000.0
Occupancy And Equipment,2146000.0,,2289000.0,5985000.0,2241000.0,2098000.0
Other Non Interest Expense,8927000.0,,8489000.0,4326000.0,8527000.0,8392000.0
