,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,2276400.0,2751210.0,-15053430.0,2357250.0,932820.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,,
Normalized EBITDA,117538000.0,158032000.0,176843000.0,144338000.0,175327000.0,,
Total Unusual Items,10840000.0,13101000.0,-71683000.0,11225000.0,4442000.0,,
Total Unusual Items Excluding Goodwill,10840000.0,13101000.0,-71683000.0,11225000.0,4442000.0,,
Net Income From Continuing Operation Net Minority Interest,105160000.0,100128000.0,34972000.0,80751000.0,102335000.0,,
Reconciled Depreciation,,41676000.0,41435000.0,41246000.0,40361000.0,40539000.0,
Reconciled Cost Of Revenue,94215000.0,311158000.0,392929000.0,420452000.0,364742000.0,,
EBITDA,128378000.0,171133000.0,105160000.0,155563000.0,179769000.0,,
EBIT,128378000.0,129457000.0,63725000.0,114317000.0,139408000.0,,
Net Interest Income,-16778000.0,-24591000.0,-30193000.0,-30638000.0,-30933000.0,,
Interest Expense,22256000.0,28614000.0,31809000.0,35446000.0,36533000.0,,
Interest Income,5478000.0,6481000.0,6989000.0,8629000.0,9254000.0,,
Normalized Income,96596400.0,89778210.0,91601570.0,71883250.0,98825820.0,,
Net Income From Continuing And Discontinued Operation,88694000.0,100128000.0,34972000.0,80751000.0,102335000.0,,
Total Expenses,105749000.0,333956000.0,415192000.0,446502000.0,387639000.0,,
Rent Expense Supplemental,,111518000.0,185138000.0,212874000.0,164208000.0,144349000.0,
Total Operating Income As Reported,114607000.0,107670000.0,127237000.0,104001000.0,127626000.0,,
Diluted Average Shares,,119960329.0,119805639.0,,119176547.0,118628891.0,118042187.0
Basic Average Shares,,119960329.0,119805639.0,,119176547.0,118628891.0,118042187.0
Diluted EPS,,0.79,0.25,,0.77,0.79,0.82
Basic EPS,,0.79,0.25,,0.77,0.79,0.82
Diluted NI Availto Com Stockholders,83406000.0,95014000.0,29742000.0,75463000.0,91292000.0,,
Net Income Common Stockholders,83406000.0,95014000.0,29742000.0,75463000.0,91292000.0,,
Preferred Stock Dividends,5288000.0,5114000.0,5230000.0,5288000.0,11043000.0,,
Net Income,88694000.0,100128000.0,34972000.0,80751000.0,102335000.0,,
Minority Interests,-962000.0,-715000.0,3056000.0,1880000.0,-540000.0,,
Net Income Including Noncontrolling Interests,89656000.0,100843000.0,31916000.0,78871000.0,102875000.0,,
Net Income Discontinuous Operations,-16466000.0,,,,,,
Net Income Continuous Operations,106122000.0,100843000.0,31916000.0,78871000.0,102875000.0,,
Pretax Income,106122000.0,100843000.0,31916000.0,78871000.0,102875000.0,,
Other Income Expense,10754000.0,13164000.0,-71102000.0,11370000.0,6027000.0,,
Other Non Operating Income Expenses,-86000.0,63000.0,588000.0,168000.0,1583000.0,,
Special Income Charges,,-4848000.0,440000.0,2234000.0,121000.0,993000.0,
Gain On Sale Of Ppe,,-4669000.0,440000.0,2234000.0,121000.0,993000.0,
Write Off,,,,,1586000.0,1617000.0,
Impairment Of Capital Assets,,179000.0,0.0,0.0,,0.0,205000.0
Earnings From Equity Interest,0.0,0.0,-7000.0,-23000.0,2000.0,,
Gain On Sale Of Security,10840000.0,17949000.0,-72123000.0,8991000.0,4321000.0,,
Net Non Operating Interest Income Expense,-16778000.0,-24591000.0,-30193000.0,-30638000.0,-30933000.0,,
Total Other Finance Cost,,2458000.0,5373000.0,3821000.0,3654000.0,3572000.0,
Interest Expense Non Operating,22256000.0,28614000.0,31809000.0,35446000.0,36533000.0,,
Interest Income Non Operating,5478000.0,6481000.0,6989000.0,8629000.0,9254000.0,,
Operating Income,112146000.0,112270000.0,133211000.0,98139000.0,127781000.0,,
Operating Expense,11534000.0,22798000.0,22263000.0,26050000.0,22897000.0,,
Other Operating Expenses,7135000.0,13996000.0,14002000.0,15936000.0,14696000.0,,
Selling General And Administration,4399000.0,8802000.0,8261000.0,10114000.0,8201000.0,,
General And Administrative Expense,4399000.0,8802000.0,8261000.0,10114000.0,8201000.0,,
Other Gand A,4399000.0,8802000.0,8261000.0,10114000.0,8201000.0,,
Gross Profit,123680000.0,135068000.0,155474000.0,124189000.0,150678000.0,,
Cost Of Revenue,94215000.0,311158000.0,392929000.0,420452000.0,364742000.0,,
Total Revenue,217895000.0,446226000.0,548403000.0,544641000.0,515420000.0,,
Operating Revenue,217895000.0,446226000.0,548403000.0,544641000.0,515420000.0,,
